player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21,1999,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,57.0,15.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,33.0,33.0,2889.0,3.0,0.0,0.0,0.0,4.0,1.0,0.09,0.0,0.09,0.09,0.09,1.7,1.7,0.3,0.05,0.01,0.06,0.05,0.06,32.1,15.0,5.0,0.0,33.3,0.47,0.16,0.2,0.6,0.11,1.3,1.3,1506.0,1715.0,87.8,33695.0,11616.0,336.0,377.0,89.1,893.0,951.0,93.9,267.0,366.0,73.0,-0.3,4.0,81.0,1.0,0.0,91.0,1656.0,59.0,59.0,0.0,168.0,39.0,0.0,0.0,0.0,0.0,0.0,1365.0,123.0,227.0,1135.0,475.0,57.0,0.0,3.0,4.0,26.0,24.0,13.0,11.0,0.34,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,45.0,51.0,20.0,0.0,15.0,37.0,40.5,22.0,379.0,146.0,38.5,252.0,110.0,17.0,51.0,20.0,2.0,31.0,56.0,170.0,0.0,2085.0,279.0,1203.0,986.0,41.0,21.0,2030.0,12.0,20.0,60.0,13.0,1.0,1339.0,7561.0,4188.0,58.0,8.0,1.0,1407.0,1365.0,97.0,8.0,15.0,0.0,38.0,23.0,0.0,0.0,0.0,0.0,289.0,93.0,49.0,65.5
Mehdi Abeid,dz ALG,MF,Nantes,27,1992,18.0,15.0,1320.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.07,0.05,0.12,0.07,0.12,14.7,20.0,0.0,1.0,0.0,1.36,0.0,0.0,0.0,0.05,-1.0,-1.0,616.0,725.0,85.0,12193.0,2951.0,247.0,263.0,93.9,250.0,284.0,88.0,103.0,154.0,66.9,-0.8,12.0,60.0,7.0,4.0,42.0,676.0,49.0,32.0,1.0,83.0,33.0,21.0,14.0,7.0,4.0,3.0,544.0,70.0,111.0,100.0,589.0,19.0,3.0,4.0,5.0,15.0,10.0,7.0,28.0,1.91,18.0,4.0,2.0,0.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,16.0,18.0,3.0,11.0,25.0,44.0,14.0,245.0,85.0,34.7,75.0,133.0,37.0,18.0,2.0,0.0,16.0,23.0,14.0,1.0,871.0,26.0,223.0,551.0,174.0,13.0,825.0,23.0,32.0,71.9,23.0,0.0,595.0,3486.0,1689.0,60.0,22.0,1.0,628.0,565.0,90.0,6.0,18.0,0.0,30.0,22.0,1.0,0.0,0.0,0.0,146.0,12.0,19.0,38.7
Laurent Abergel,fr FRA,MF,Lorient,27,1993,38.0,32.0,2963.0,3.0,1.0,0.0,0.0,5.0,0.0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,0.04,0.04,0.08,0.04,0.08,32.9,30.0,10.0,0.0,33.3,0.91,0.3,0.1,0.3,0.04,1.7,1.7,1330.0,1592.0,83.5,25834.0,6519.0,530.0,603.0,87.9,575.0,639.0,90.0,200.0,289.0,69.2,-0.4,21.0,113.0,17.0,4.0,111.0,1546.0,46.0,37.0,2.0,319.0,53.0,18.0,1.0,1.0,0.0,0.0,1174.0,198.0,220.0,137.0,1391.0,45.0,7.0,5.0,5.0,28.0,50.0,28.0,56.0,1.7,40.0,1.0,1.0,5.0,4.0,10.0,0.3,6.0,1.0,0.0,1.0,1.0,0.0,160.0,108.0,65.0,79.0,16.0,53.0,179.0,29.6,126.0,958.0,269.0,28.1,323.0,539.0,96.0,51.0,6.0,1.0,45.0,46.0,13.0,0.0,1973.0,40.0,513.0,1270.0,309.0,17.0,1932.0,22.0,31.0,71.0,22.0,0.0,1362.0,5793.0,2893.0,107.0,34.0,3.0,1427.0,1321.0,92.6,41.0,46.0,0.0,43.0,38.0,0.0,1.0,0.0,0.0,298.0,8.0,19.0,29.6
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,24.0,9.0,912.0,3.0,2.0,0.0,0.0,1.0,0.0,0.3,0.2,0.49,0.3,0.49,2.1,2.1,0.3,0.21,0.03,0.24,0.21,0.24,10.1,19.0,4.0,0.0,21.1,1.87,0.39,0.16,0.75,0.11,0.9,0.9,144.0,214.0,67.3,1899.0,334.0,84.0,109.0,77.1,37.0,52.0,71.2,6.0,20.0,30.0,1.7,8.0,9.0,5.0,0.0,11.0,199.0,15.0,0.0,1.0,77.0,2.0,4.0,0.0,0.0,0.0,0.0,140.0,33.0,41.0,142.0,26.0,16.0,0.0,3.0,0.0,7.0,1.0,14.0,14.0,1.38,11.0,1.0,1.0,0.0,1.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,1.0,0.0,5.0,14.0,35.7,9.0,224.0,57.0,25.4,24.0,106.0,94.0,7.0,1.0,0.0,6.0,7.0,6.0,0.0,345.0,9.0,41.0,165.0,158.0,44.0,330.0,12.0,27.0,44.4,14.0,0.0,209.0,968.0,504.0,27.0,11.0,4.0,492.0,253.0,51.4,35.0,25.0,0.0,18.0,8.0,7.0,0.0,0.0,0.0,40.0,36.0,62.0,36.7
Matthis Abline,fr FRA,FW,Rennes,17,2003,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,24,1995,14.0,14.0,1260.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,0.08,0.0,0.09,0.08,0.09,14.0,13.0,3.0,0.0,23.1,0.93,0.21,0.0,0.0,0.09,-1.2,-1.2,505.0,624.0,80.9,12189.0,4391.0,125.0,134.0,93.3,242.0,274.0,88.3,132.0,205.0,64.4,-0.1,3.0,30.0,2.0,0.0,31.0,598.0,26.0,24.0,0.0,67.0,43.0,1.0,0.0,0.0,0.0,0.0,424.0,51.0,149.0,191.0,387.0,30.0,2.0,0.0,0.0,15.0,5.0,3.0,7.0,0.5,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,16.0,6.0,0.0,9.0,17.0,52.9,8.0,107.0,45.0,42.1,73.0,29.0,5.0,16.0,5.0,0.0,11.0,32.0,142.0,2.0,856.0,141.0,518.0,369.0,25.0,16.0,830.0,5.0,6.0,83.3,5.0,0.0,456.0,3013.0,1651.0,16.0,1.0,0.0,472.0,461.0,97.7,2.0,1.0,0.0,10.0,9.0,1.0,0.0,0.0,0.0,127.0,57.0,15.0,79.2
Yacine Adli,fr FRA,MF,Bordeaux,20,2000,35.0,25.0,2418.0,2.0,5.0,0.0,0.0,6.0,0.0,0.07,0.19,0.26,0.07,0.26,1.4,1.4,4.7,0.05,0.18,0.23,0.05,0.23,26.9,24.0,9.0,1.0,37.5,0.89,0.33,0.08,0.22,0.06,0.6,0.6,1346.0,1629.0,82.6,27385.0,6812.0,507.0,569.0,89.1,561.0,646.0,86.8,245.0,347.0,70.6,0.3,53.0,148.0,24.0,4.0,142.0,1569.0,60.0,38.0,10.0,259.0,71.0,30.0,18.0,7.0,5.0,3.0,1262.0,158.0,209.0,135.0,1435.0,31.0,4.0,5.0,6.0,27.0,43.0,36.0,92.0,3.42,68.0,9.0,6.0,1.0,3.0,8.0,0.3,6.0,1.0,0.0,1.0,0.0,0.0,91.0,62.0,39.0,40.0,12.0,28.0,86.0,32.6,58.0,695.0,186.0,26.8,210.0,358.0,127.0,36.0,4.0,0.0,32.0,41.0,24.0,2.0,1942.0,55.0,419.0,1254.0,412.0,21.0,1890.0,55.0,83.0,66.3,59.0,2.0,1408.0,6992.0,3928.0,156.0,47.0,7.0,1559.0,1448.0,92.9,33.0,43.0,0.0,39.0,37.0,0.0,0.0,0.0,0.0,216.0,30.0,25.0,54.5
Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35.0,35.0,3147.0,3.0,1.0,0.0,0.0,6.0,0.0,0.09,0.03,0.11,0.09,0.11,2.9,2.9,0.9,0.08,0.03,0.11,0.08,0.11,35.0,29.0,6.0,0.0,20.7,0.83,0.17,0.1,0.5,0.1,0.1,0.1,2430.0,2658.0,91.4,49991.0,18054.0,825.0,862.0,95.7,1173.0,1227.0,95.6,404.0,535.0,75.5,0.1,4.0,137.0,0.0,0.0,136.0,2586.0,72.0,71.0,1.0,168.0,71.0,1.0,0.0,0.0,0.0,0.0,2258.0,146.0,254.0,2264.0,266.0,69.0,1.0,5.0,1.0,22.0,15.0,9.0,14.0,0.4,12.0,0.0,0.0,2.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,55.0,37.0,41.0,14.0,0.0,19.0,36.0,52.8,17.0,270.0,105.0,38.9,159.0,101.0,10.0,43.0,24.0,0.0,19.0,39.0,181.0,1.0,3019.0,301.0,1348.0,1773.0,65.0,37.0,2951.0,8.0,11.0,72.7,9.0,0.0,2060.0,9495.0,5390.0,120.0,11.0,0.0,2299.0,2266.0,98.6,4.0,10.0,0.0,22.0,30.0,2.0,0.0,1.0,0.0,331.0,128.0,57.0,69.2
Ruben Aguilar,fr FRA,"DF,FW",Monaco,27,1993,33.0,27.0,2225.0,1.0,3.0,0.0,0.0,6.0,0.0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,4.6,0.05,0.19,0.23,0.05,0.23,24.7,8.0,3.0,0.0,37.5,0.32,0.12,0.13,0.33,0.15,-0.2,-0.2,1317.0,1599.0,82.4,22448.0,6842.0,627.0,682.0,91.9,532.0,636.0,83.6,121.0,214.0,56.5,-1.6,44.0,77.0,37.0,17.0,94.0,1374.0,225.0,32.0,2.0,133.0,51.0,100.0,22.0,8.0,10.0,2.0,1023.0,246.0,330.0,33.0,1304.0,54.0,171.0,5.0,5.0,16.0,24.0,31.0,72.0,2.91,56.0,9.0,2.0,1.0,4.0,8.0,0.32,6.0,0.0,1.0,0.0,1.0,0.0,84.0,48.0,39.0,29.0,16.0,33.0,58.0,56.9,25.0,413.0,147.0,35.6,149.0,168.0,96.0,38.0,2.0,0.0,36.0,37.0,54.0,1.0,1909.0,56.0,400.0,937.0,681.0,64.0,1693.0,22.0,41.0,53.7,24.0,2.0,1157.0,5571.0,3395.0,168.0,54.0,5.0,1423.0,1200.0,84.3,30.0,27.0,0.0,40.0,36.0,1.0,1.0,0.0,0.0,251.0,50.0,38.0,56.8
