squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Arminia,26.0,57.8,34.0,374.0,3060.0,51.0,36.0,5.0,6.0,63.0,2.0,1.5,1.06,2.56,1.35,2.41,55.7,51.2,40.8,1.64,1.2,2.84,1.51,2.71,34.0,34.0,3060.0,26.0,0.76,100.0,78.0,75.0,17.0,8.0,9.0,15.0,44.1,2.0,1.0,1.0,0.0,34.0,1.0,2.0,3.0,29.0,0.27,6.0,0.18,199.0,438.0,45.4,1026.0,196.0,33.5,33.3,222.0,42.3,39.3,208.0,12.0,5.8,21.0,0.62,14.2,440.0,166.0,9.0,37.7,12.94,4.88,0.1,0.28,0.12,-4.7,-5.2,16375.0,20117.0,81.4,332770.0,107572.0,5793.0,6603.0,87.7,7813.0,8854.0,88.2,2557.0,4014.0,63.7,-4.8,347.0,1233.0,346.0,79.0,1489.0,18434.0,1683.0,429.0,24.0,2976.0,557.0,468.0,184.0,79.0,57.0,22.0,13523.0,2792.0,3802.0,5974.0,11641.0,867.0,787.0,301.0,64.0,309.0,280.0,492.0,721.0,21.21,561.0,57.0,38.0,28.0,31.0,91.0,2.68,73.0,3.0,3.0,6.0,5.0,547.0,327.0,253.0,232.0,62.0,161.0,466.0,34.5,305.0,4557.0,1463.0,32.1,1288.0,2092.0,1177.0,501.0,102.0,0.0,399.0,328.0,846.0,8.0,24154.0,2140.0,7952.0,12088.0,5672.0,891.0,22516.0,383.0,588.0,65.1,396.0,12.0,15538.0,80035.0,42005.0,1536.0,448.0,133.0,19354.0,16375.0,84.6,478.0,439.0,1.0,443.0,379.0,79.0,5.0,2.0,3.0,3430.0,800.0,832.0,49.0
vs Augsburg,25.0,58.7,34.0,374.0,3060.0,51.0,37.0,6.0,9.0,54.0,1.0,1.5,1.09,2.59,1.32,2.41,55.6,49.0,37.2,1.63,1.09,2.73,1.44,2.54,34.0,34.0,3060.0,36.0,1.06,108.0,74.0,68.5,18.0,6.0,10.0,11.0,32.4,5.0,2.0,1.0,2.0,34.0,0.0,3.0,1.0,35.1,0.3,0.1,0.0,198.0,449.0,44.1,1162.0,182.0,31.4,33.1,226.0,37.2,36.6,247.0,21.0,8.5,29.0,0.85,16.7,477.0,172.0,13.0,36.1,14.03,5.06,0.09,0.26,0.11,-4.6,-4.0,16170.0,19979.0,80.9,330755.0,104594.0,5707.0,6550.0,87.1,7557.0,8606.0,87.8,2630.0,4055.0,64.9,-0.2,356.0,1207.0,384.0,110.0,1499.0,18246.0,1733.0,441.0,28.0,2644.0,557.0,564.0,186.0,65.0,79.0,17.0,13552.0,2666.0,3761.0,6068.0,11557.0,732.0,802.0,293.0,85.0,287.0,416.0,517.0,759.0,22.32,564.0,63.0,31.0,48.0,39.0,83.0,2.44,59.0,4.0,5.0,8.0,7.0,597.0,366.0,254.0,241.0,102.0,211.0,560.0,37.7,349.0,5241.0,1708.0,32.6,1420.0,2371.0,1450.0,572.0,99.0,1.0,473.0,382.0,761.0,8.0,24002.0,2166.0,7467.0,11935.0,6157.0,1011.0,22321.0,321.0,545.0,58.9,352.0,16.0,15144.0,82154.0,44620.0,1643.0,488.0,165.0,19271.0,16170.0,83.9,442.0,387.0,1.0,433.0,365.0,94.0,7.0,5.0,1.0,3310.0,780.0,627.0,55.4
vs Bayern Munich,29.0,38.9,34.0,374.0,3060.0,44.0,41.0,1.0,3.0,50.0,0.0,1.29,1.21,2.5,1.26,2.47,41.0,38.7,31.7,1.21,0.93,2.14,1.14,2.07,34.0,34.0,3060.0,99.0,2.91,220.0,130.0,59.1,4.0,6.0,24.0,0.0,0.0,10.0,9.0,1.0,0.0,34.0,0.0,8.0,1.0,80.4,0.34,-17.6,-0.52,254.0,594.0,42.8,1003.0,185.0,43.8,38.4,346.0,44.8,38.1,384.0,19.0,4.9,27.0,0.79,12.5,339.0,129.0,11.0,38.1,9.97,3.79,0.13,0.33,0.12,3.0,4.3,10983.0,14429.0,76.1,217822.0,83672.0,4538.0,5318.0,85.3,4513.0,5437.0,83.0,1744.0,3082.0,56.6,9.3,260.0,723.0,203.0,61.0,839.0,12824.0,1605.0,377.0,50.0,2457.0,442.0,331.0,119.0,47.0,44.0,2.0,9026.0,2177.0,3226.0,3913.0,8640.0,626.0,632.0,267.0,89.0,264.0,394.0,458.0,540.0,15.88,402.0,44.0,29.0,14.0,27.0,76.0,2.24,51.0,12.0,3.0,2.0,5.0,657.0,406.0,380.0,210.0,67.0,217.0,729.0,29.8,512.0,5626.0,1622.0,28.8,2321.0,2293.0,1012.0,622.0,147.0,6.0,475.0,472.0,877.0,12.0,18625.0,3157.0,8272.0,7606.0,3796.0,590.0,17063.0,320.0,533.0,60.0,344.0,22.0,10810.0,54912.0,29156.0,1016.0,318.0,130.0,13708.0,10983.0,80.1,434.0,395.0,0.0,400.0,311.0,104.0,2.0,10.0,1.0,2821.0,452.0,498.0,47.6
vs Dortmund,26.0,40.2,34.0,374.0,3060.0,45.0,33.0,6.0,6.0,62.0,1.0,1.32,0.97,2.29,1.15,2.12,40.4,35.8,25.7,1.19,0.76,1.94,1.05,1.81,34.0,34.0,3060.0,75.0,2.21,182.0,110.0,60.4,10.0,4.0,20.0,1.0,2.9,7.0,3.0,2.0,2.0,34.0,1.0,11.0,1.0,61.3,0.31,-12.7,-0.37,219.0,542.0,40.4,1008.0,154.0,41.4,37.1,277.0,45.1,38.9,252.0,9.0,3.6,19.0,0.56,13.4,374.0,131.0,12.0,35.0,11.0,3.85,0.1,0.3,0.1,4.6,3.2,11793.0,15078.0,78.2,230560.0,79763.0,4705.0,5478.0,85.9,5111.0,6000.0,85.2,1765.0,3030.0,58.3,7.3,272.0,783.0,229.0,62.0,1003.0,13574.0,1504.0,412.0,16.0,2264.0,376.0,286.0,128.0,39.0,52.0,8.0,10265.0,1986.0,2827.0,4398.0,9030.0,558.0,578.0,218.0,36.0,263.0,384.0,402.0,586.0,17.24,445.0,35.0,33.0,27.0,27.0,74.0,2.18,44.0,9.0,3.0,8.0,7.0,629.0,385.0,344.0,221.0,64.0,255.0,744.0,34.3,489.0,5851.0,1625.0,27.8,1994.0,2499.0,1358.0,579.0,133.0,6.0,446.0,501.0,722.0,7.0,19036.0,2680.0,7359.0,8650.0,4282.0,622.0,17569.0,288.0,525.0,54.9,322.0,13.0,11634.0,62806.0,35066.0,1307.0,430.0,111.0,14273.0,11793.0,82.6,389.0,391.0,0.0,388.0,352.0,42.0,4.0,7.0,1.0,2787.0,409.0,486.0,45.7
vs Eint Frankfurt,25.0,46.0,34.0,374.0,3060.0,51.0,40.0,4.0,6.0,64.0,0.0,1.5,1.18,2.68,1.38,2.56,48.4,43.6,33.3,1.42,0.98,2.4,1.28,2.26,34.0,34.0,3060.0,69.0,2.03,159.0,102.0,61.6,6.0,12.0,16.0,2.0,5.9,8.0,8.0,0.0,0.0,34.0,0.0,7.0,6.0,60.6,0.34,-2.4,-0.07,269.0,689.0,39.0,1145.0,161.0,45.4,39.0,282.0,59.9,46.5,377.0,24.0,6.4,23.0,0.68,14.3,425.0,149.0,11.0,35.1,12.5,4.38,0.11,0.32,0.1,2.6,3.4,11925.0,15778.0,75.6,241941.0,91656.0,4671.0,5517.0,84.7,4927.0,5938.0,83.0,2092.0,3628.0,57.7,6.7,313.0,864.0,271.0,67.0,1153.0,14006.0,1772.0,507.0,44.0,2515.0,485.0,419.0,160.0,67.0,54.0,18.0,9545.0,2465.0,3768.0,4465.0,9091.0,756.0,714.0,258.0,74.0,302.0,389.0,475.0,672.0,19.76,492.0,55.0,45.0,34.0,32.0,89.0,2.62,68.0,4.0,6.0,5.0,4.0,601.0,365.0,300.0,235.0,66.0,184.0,533.0,34.5,349.0,5121.0,1636.0,31.9,1751.0,2319.0,1051.0,581.0,102.0,3.0,479.0,451.0,827.0,10.0,20118.0,2548.0,7473.0,9104.0,4742.0,799.0,18409.0,392.0,660.0,59.4,427.0,19.0,12177.0,61602.0,33498.0,1306.0,401.0,138.0,14865.0,11925.0,80.2,498.0,432.0,0.0,389.0,444.0,83.0,4.0,8.0,6.0,3413.0,625.0,735.0,46.0
vs Freiburg,24.0,53.0,34.0,374.0,3060.0,50.0,35.0,4.0,6.0,54.0,0.0,1.47,1.03,2.5,1.35,2.38,53.7,49.2,37.3,1.58,1.1,2.68,1.45,2.54,34.0,34.0,3060.0,52.0,1.53,143.0,97.0,67.8,13.0,9.0,12.0,9.0,26.5,6.0,6.0,0.0,0.0,34.0,0.0,7.0,1.0,47.9,0.3,-3.1,-0.09,234.0,542.0,43.2,1231.0,171.0,35.5,34.5,236.0,44.5,41.0,328.0,21.0,6.4,26.0,0.76,14.6,495.0,168.0,23.0,33.9,14.56,4.94,0.09,0.27,0.1,-3.7,-3.2,14451.0,17924.0,80.6,292192.0,96680.0,5263.0,6011.0,87.6,6770.0,7763.0,87.2,2206.0,3534.0,62.4,-2.3,373.0,1000.0,260.0,72.0,1218.0,16302.0,1622.0,461.0,19.0,2429.0,443.0,368.0,150.0,58.0,72.0,3.0,12552.0,1951.0,3421.0,5262.0,10537.0,696.0,689.0,266.0,36.0,302.0,367.0,414.0,806.0,23.71,613.0,63.0,42.0,31.0,43.0,84.0,2.47,58.0,3.0,8.0,8.0,5.0,509.0,322.0,259.0,193.0,57.0,177.0,462.0,38.3,285.0,4674.0,1422.0,30.4,1427.0,2035.0,1212.0,553.0,103.0,1.0,450.0,317.0,800.0,10.0,21844.0,2506.0,7901.0,10460.0,5049.0,783.0,20263.0,339.0,504.0,67.3,362.0,15.0,14164.0,78790.0,43584.0,1560.0,537.0,143.0,17075.0,14451.0,84.6,464.0,358.0,0.0,424.0,421.0,43.0,5.0,6.0,1.0,3107.0,699.0,679.0,50.7
vs Hertha BSC,32.0,50.6,34.0,374.0,3060.0,51.0,35.0,7.0,8.0,68.0,3.0,1.5,1.03,2.53,1.29,2.32,47.0,40.9,32.1,1.38,0.94,2.33,1.2,2.15,34.0,34.0,3056.0,41.0,1.21,144.0,108.0,74.3,15.0,11.0,8.0,12.0,35.3,6.0,4.0,2.0,0.0,34.0,0.0,2.0,1.0,43.9,0.27,3.9,0.12,207.0,483.0,42.9,904.0,160.0,41.5,37.8,236.0,45.8,38.7,279.0,16.0,5.7,26.0,0.77,15.3,423.0,134.0,14.0,31.7,12.44,3.94,0.1,0.33,0.1,4.0,3.1,13058.0,16528.0,79.0,259335.0,90506.0,5044.0,5827.0,86.6,5729.0,6654.0,86.1,2024.0,3330.0,60.8,2.9,312.0,1037.0,299.0,72.0,1244.0,14826.0,1702.0,523.0,41.0,2694.0,479.0,401.0,159.0,55.0,58.0,20.0,10881.0,2325.0,3322.0,4837.0,9706.0,661.0,708.0,249.0,36.0,277.0,385.0,486.0,648.0,19.06,457.0,68.0,38.0,27.0,46.0,76.0,2.24,44.0,9.0,4.0,4.0,12.0,644.0,391.0,314.0,256.0,74.0,198.0,565.0,35.0,367.0,5174.0,1592.0,30.8,1649.0,2394.0,1131.0,535.0,98.0,2.0,437.0,356.0,792.0,7.0,20597.0,2124.0,6675.0,9798.0,5553.0,758.0,18961.0,320.0,525.0,61.0,345.0,25.0,12493.0,69038.0,37578.0,1433.0,435.0,114.0,15690.0,13058.0,83.2,448.0,405.0,1.0,445.0,444.0,43.0,8.0,6.0,1.0,3053.0,579.0,577.0,50.1
vs Hoffenheim,30.0,48.9,34.0,374.0,3060.0,52.0,38.0,6.0,9.0,47.0,2.0,1.53,1.12,2.65,1.35,2.47,53.3,46.7,37.5,1.57,1.1,2.67,1.37,2.48,34.0,34.0,3060.0,52.0,1.53,150.0,103.0,68.7,13.0,10.0,11.0,7.0,20.6,6.0,5.0,1.0,0.0,34.0,2.0,6.0,1.0,52.4,0.32,1.4,0.04,255.0,562.0,45.4,1094.0,184.0,39.7,36.0,262.0,48.9,41.7,330.0,24.0,7.3,28.0,0.82,15.1,372.0,139.0,12.0,37.4,10.94,4.09,0.12,0.33,0.13,-1.3,-0.7,13651.0,17219.0,79.3,275994.0,93015.0,5170.0,5940.0,87.0,5950.0,6920.0,86.0,2255.0,3644.0,61.9,0.5,290.0,931.0,287.0,69.0,1173.0,15529.0,1690.0,466.0,33.0,2297.0,476.0,402.0,159.0,51.0,61.0,7.0,11560.0,2180.0,3479.0,5114.0,10028.0,668.0,715.0,274.0,103.0,274.0,324.0,453.0,612.0,18.0,439.0,57.0,46.0,24.0,32.0,94.0,2.76,69.0,6.0,4.0,5.0,6.0,643.0,362.0,332.0,234.0,77.0,223.0,600.0,37.2,377.0,5447.0,1533.0,28.1,1842.0,2389.0,1216.0,599.0,105.0,2.0,494.0,404.0,830.0,7.0,21342.0,2515.0,7757.0,10145.0,4776.0,823.0,19696.0,334.0,558.0,59.9,357.0,21.0,13161.0,71220.0,38399.0,1401.0,408.0,146.0,16313.0,13651.0,83.7,425.0,389.0,0.0,433.0,424.0,116.0,7.0,6.0,1.0,3019.0,661.0,563.0,54.0
vs Köln,28.0,53.7,36.0,374.0,3060.0,60.0,43.0,8.0,9.0,67.0,0.0,1.76,1.26,3.03,1.53,2.79,55.3,48.5,37.9,1.63,1.12,2.74,1.43,2.54,36.0,36.0,3060.0,34.0,1.0,103.0,72.0,70.9,17.0,9.0,8.0,12.0,33.3,6.0,4.0,1.0,1.0,34.0,0.0,5.0,1.0,34.0,0.3,1.0,0.03,249.0,548.0,45.4,1097.0,151.0,35.9,35.0,237.0,65.0,50.2,343.0,25.0,7.3,39.0,1.15,17.5,412.0,152.0,16.0,36.9,12.12,4.47,0.13,0.34,0.12,4.7,3.5,15049.0,18577.0,81.0,310668.0,103608.0,5236.0,6095.0,85.9,7027.0,7954.0,88.3,2551.0,3876.0,65.8,5.1,308.0,1114.0,275.0,76.0,1384.0,16880.0,1697.0,451.0,21.0,2443.0,520.0,381.0,158.0,59.0,70.0,7.0,12888.0,2348.0,3341.0,5143.0,11314.0,610.0,780.0,246.0,43.0,261.0,394.0,439.0,674.0,19.82,465.0,68.0,45.0,36.0,44.0,103.0,3.03,75.0,4.0,9.0,7.0,6.0,548.0,339.0,247.0,211.0,90.0,161.0,460.0,35.0,299.0,4800.0,1595.0,33.2,1396.0,2079.0,1325.0,578.0,109.0,0.0,469.0,383.0,768.0,9.0,22643.0,2143.0,7342.0,11352.0,5491.0,798.0,20987.0,342.0,569.0,60.1,364.0,25.0,14611.0,75801.0,40868.0,1518.0,409.0,120.0,17666.0,15049.0,85.2,455.0,443.0,0.0,461.0,397.0,54.0,5.0,6.0,1.0,3154.0,722.0,673.0,51.8
vs Leverkusen,30.0,40.1,34.0,374.0,3060.0,37.0,27.0,1.0,2.0,50.0,3.0,1.09,0.79,1.88,1.06,1.85,40.4,38.8,27.7,1.19,0.81,2.0,1.14,1.96,34.0,34.0,3060.0,53.0,1.56,169.0,118.0,70.4,10.0,10.0,14.0,9.0,26.5,3.0,3.0,0.0,0.0,34.0,0.0,9.0,1.0,46.1,0.26,-5.9,-0.17,286.0,615.0,46.5,1130.0,146.0,41.3,37.1,265.0,55.8,45.2,321.0,17.0,5.3,22.0,0.65,13.9,344.0,110.0,16.0,32.0,10.12,3.24,0.1,0.33,0.12,-3.4,-2.8,11008.0,14635.0,75.2,227197.0,84876.0,4082.0,4858.0,84.0,4866.0,5891.0,82.6,1869.0,3294.0,56.7,-0.7,240.0,754.0,218.0,63.0,935.0,13056.0,1579.0,482.0,17.0,2305.0,356.0,348.0,121.0,54.0,45.0,8.0,9025.0,2093.0,3517.0,4292.0,8300.0,710.0,624.0,232.0,61.0,299.0,363.0,420.0,543.0,15.97,367.0,48.0,41.0,34.0,40.0,59.0,1.74,42.0,3.0,5.0,4.0,4.0,715.0,455.0,356.0,279.0,80.0,269.0,765.0,35.2,496.0,5989.0,1766.0,29.5,1964.0,2734.0,1291.0,587.0,118.0,0.0,469.0,445.0,795.0,6.0,18719.0,2663.0,7621.0,8288.0,3938.0,675.0,17184.0,312.0,520.0,60.0,343.0,21.0,10767.0,56988.0,29939.0,1065.0,306.0,123.0,13767.0,11008.0,80.0,435.0,382.0,2.0,365.0,422.0,71.0,2.0,3.0,1.0,3121.0,571.0,504.0,53.1
