player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,14.0,2.0,441.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.06,0.0,0.06,0.06,0.06,4.9,9.0,0.0,1.0,0.0,1.84,0.0,0.0,0.0,0.03,-0.3,-0.3,189.0,225.0,84.0,3834.0,625.0,75.0,84.0,89.3,79.0,93.0,84.9,33.0,43.0,76.7,0.0,1.0,14.0,3.0,1.0,16.0,221.0,4.0,3.0,0.0,35.0,7.0,7.0,1.0,0.0,0.0,0.0,177.0,17.0,31.0,198.0,20.0,6.0,0.0,1.0,2.0,6.0,5.0,3.0,6.0,1.22,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,1.0,7.0,3.0,5.0,7.0,71.4,2.0,88.0,22.0,25.0,8.0,57.0,23.0,6.0,1.0,0.0,5.0,4.0,3.0,0.0,290.0,8.0,33.0,172.0,115.0,8.0,286.0,5.0,12.0,41.7,7.0,1.0,219.0,1432.0,601.0,28.0,14.0,1.0,247.0,210.0,85.0,8.0,12.0,0.0,10.0,12.0,1.0,0.0,0.0,0.0,49.0,0.0,9.0,0.0
Francesco Acerbi,it ITA,DF,Lazio,32,1988,32.0,32.0,2813.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.03,0.03,0.0,0.03,1.0,1.0,1.0,0.03,0.03,0.06,0.03,0.06,31.3,8.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.12,-1.0,-1.0,1804.0,2035.0,88.6,38629.0,10443.0,558.0,605.0,92.2,867.0,918.0,94.4,344.0,456.0,75.4,0.0,12.0,115.0,20.0,9.0,99.0,1927.0,108.0,54.0,1.0,183.0,73.0,26.0,0.0,0.0,0.0,0.0,1467.0,208.0,360.0,1538.0,339.0,93.0,24.0,4.0,4.0,27.0,15.0,15.0,32.0,1.02,27.0,1.0,0.0,2.0,0.0,4.0,0.13,4.0,0.0,0.0,0.0,0.0,0.0,55.0,38.0,36.0,16.0,3.0,11.0,37.0,29.7,26.0,350.0,146.0,41.7,201.0,119.0,30.0,51.0,19.0,0.0,32.0,62.0,155.0,1.0,2382.0,348.0,1231.0,1170.0,195.0,19.0,2279.0,11.0,12.0,91.7,11.0,0.0,1448.0,9813.0,5208.0,116.0,32.0,1.0,1592.0,1549.0,97.3,14.0,8.0,1.0,31.0,25.0,2.0,0.0,0.0,0.0,368.0,77.0,26.0,74.8
Andrea Adorante,it ITA,FW,Parma,20,2000,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Lucien Agoume,fr FRA,MF,Spezia,18,2002,12.0,9.0,800.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.01,0.0,0.01,8.9,2.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.02,0.0,0.0,443.0,494.0,89.7,8945.0,1965.0,159.0,170.0,93.5,201.0,219.0,91.8,74.0,92.0,80.4,-0.1,2.0,39.0,4.0,0.0,36.0,480.0,14.0,13.0,1.0,75.0,19.0,0.0,0.0,0.0,0.0,0.0,376.0,43.0,75.0,77.0,384.0,21.0,1.0,3.0,3.0,5.0,8.0,1.0,6.0,0.68,6.0,0.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,9.0,5.0,0.0,2.0,13.0,15.4,11.0,151.0,43.0,28.5,51.0,86.0,14.0,18.0,4.0,0.0,14.0,20.0,14.0,1.0,569.0,30.0,174.0,349.0,74.0,1.0,557.0,4.0,7.0,57.1,5.0,0.0,365.0,1663.0,646.0,17.0,4.0,1.0,397.0,372.0,93.7,2.0,11.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,104.0,10.0,6.0,62.5
Kevin Agudelo,co COL,FW,Spezia,21,1998,29.0,14.0,1356.0,1.0,2.0,0.0,0.0,4.0,0.0,0.07,0.13,0.2,0.07,0.2,1.9,1.9,0.7,0.13,0.05,0.18,0.13,0.18,15.1,19.0,4.0,0.0,21.1,1.26,0.27,0.05,0.25,0.1,-0.9,-0.9,232.0,320.0,72.5,4192.0,919.0,109.0,133.0,82.0,88.0,115.0,76.5,29.0,49.0,59.2,1.3,11.0,18.0,12.0,0.0,30.0,304.0,16.0,0.0,0.0,100.0,9.0,10.0,2.0,0.0,0.0,0.0,222.0,60.0,38.0,252.0,40.0,10.0,2.0,2.0,1.0,11.0,7.0,19.0,35.0,2.32,17.0,1.0,4.0,5.0,5.0,4.0,0.27,3.0,0.0,0.0,1.0,0.0,0.0,50.0,30.0,12.0,25.0,13.0,10.0,35.0,28.6,25.0,356.0,100.0,28.1,64.0,150.0,142.0,30.0,0.0,0.0,30.0,5.0,7.0,0.0,564.0,5.0,66.0,286.0,280.0,59.0,548.0,40.0,70.0,57.1,45.0,2.0,404.0,2721.0,1692.0,76.0,33.0,18.0,574.0,365.0,63.6,36.0,34.0,0.0,20.0,32.0,2.0,0.0,0.0,0.0,66.0,20.0,36.0,35.7
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,32.0,6.0,1056.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.09,0.09,0.0,0.09,0.9,0.9,0.9,0.08,0.08,0.16,0.08,0.16,11.7,12.0,1.0,0.0,8.3,1.02,0.09,0.0,0.0,0.07,-0.9,-0.9,288.0,354.0,81.4,4897.0,953.0,150.0,175.0,85.7,106.0,124.0,85.5,25.0,34.0,73.5,0.1,12.0,17.0,8.0,0.0,28.0,336.0,18.0,4.0,2.0,55.0,6.0,1.0,0.0,0.0,0.0,0.0,255.0,63.0,36.0,59.0,263.0,12.0,12.0,3.0,1.0,9.0,9.0,14.0,19.0,1.62,14.0,0.0,1.0,0.0,1.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,15.0,26.0,5.0,9.0,27.0,33.3,18.0,354.0,110.0,31.1,107.0,178.0,69.0,33.0,6.0,0.0,27.0,18.0,14.0,0.0,518.0,22.0,122.0,291.0,143.0,24.0,500.0,19.0,26.0,73.1,19.0,4.0,332.0,1613.0,695.0,28.0,10.0,3.0,364.0,286.0,78.6,17.0,18.0,0.0,31.0,12.0,0.0,0.0,0.0,0.0,93.0,9.0,9.0,50.0
Luis Alberto,es ESP,MF,Lazio,27,1992,34.0,33.0,2618.0,9.0,2.0,0.0,0.0,5.0,0.0,0.31,0.07,0.38,0.31,0.38,5.5,5.3,8.2,0.19,0.28,0.47,0.18,0.46,29.1,69.0,29.0,3.0,42.0,2.37,1.0,0.13,0.31,0.08,3.5,3.7,1520.0,1941.0,78.3,28479.0,11069.0,640.0,728.0,87.9,617.0,741.0,83.3,230.0,401.0,57.4,-6.2,82.0,262.0,90.0,9.0,290.0,1682.0,259.0,72.0,15.0,315.0,69.0,37.0,117.0,55.0,35.0,11.0,1391.0,215.0,335.0,93.0,1785.0,23.0,21.0,10.0,15.0,20.0,50.0,44.0,144.0,4.95,110.0,24.0,4.0,3.0,2.0,5.0,0.17,4.0,0.0,1.0,0.0,0.0,0.0,43.0,32.0,17.0,18.0,8.0,14.0,66.0,21.2,52.0,537.0,155.0,28.9,131.0,275.0,131.0,38.0,2.0,0.0,36.0,21.0,12.0,0.0,2262.0,19.0,336.0,1277.0,931.0,67.0,2016.0,50.0,83.0,60.2,57.0,7.0,1621.0,10877.0,7515.0,324.0,141.0,17.0,1822.0,1627.0,89.3,43.0,51.0,0.0,20.0,36.0,2.0,0.0,0.0,0.0,257.0,9.0,19.0,32.1
Bruno Alves,pt POR,DF,Parma,38,1981,19.0,18.0,1632.0,1.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,0.3,0.3,0.1,0.02,0.01,0.02,0.02,0.02,18.1,10.0,3.0,3.0,30.0,0.55,0.17,0.1,0.33,0.03,0.7,0.7,796.0,916.0,86.9,20841.0,6386.0,117.0,127.0,92.1,409.0,458.0,89.3,265.0,325.0,81.5,-0.1,2.0,42.0,2.0,1.0,36.0,881.0,35.0,29.0,0.0,61.0,55.0,7.0,0.0,0.0,0.0,0.0,629.0,95.0,192.0,141.0,691.0,43.0,3.0,3.0,4.0,13.0,4.0,2.0,7.0,0.39,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,6.0,0.0,8.0,13.0,61.5,5.0,140.0,37.0,26.4,92.0,43.0,5.0,28.0,14.0,0.0,14.0,15.0,87.0,0.0,1076.0,199.0,624.0,491.0,40.0,18.0,1038.0,2.0,4.0,50.0,2.0,0.0,597.0,3567.0,1852.0,23.0,2.0,0.0,730.0,720.0,98.6,2.0,1.0,0.0,20.0,9.0,1.0,0.0,0.0,0.0,162.0,45.0,7.0,86.5
Wisdom Amey,it ITA,DF,Bologna,14,2005,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,113.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,21.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,31.0,28.0,2441.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.02,0.02,0.03,0.02,0.03,27.1,9.0,3.0,0.0,33.3,0.33,0.11,0.0,0.0,0.05,-0.4,-0.4,1234.0,1390.0,88.8,26068.0,5566.0,427.0,486.0,87.9,542.0,580.0,93.4,245.0,279.0,87.8,-0.5,11.0,126.0,15.0,5.0,111.0,1330.0,60.0,41.0,0.0,179.0,65.0,10.0,0.0,0.0,0.0,0.0,1086.0,113.0,191.0,94.0,1241.0,34.0,3.0,5.0,3.0,14.0,24.0,34.0,34.0,1.25,31.0,0.0,1.0,2.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,60.0,42.0,22.0,31.0,7.0,23.0,63.0,36.5,40.0,567.0,154.0,27.2,161.0,316.0,90.0,46.0,5.0,0.0,41.0,21.0,20.0,0.0,1649.0,41.0,305.0,1158.0,308.0,12.0,1599.0,41.0,56.0,73.2,42.0,2.0,1240.0,7141.0,3061.0,108.0,35.0,1.0,1270.0,1175.0,92.5,18.0,54.0,0.0,59.0,44.0,0.0,0.0,0.0,0.0,256.0,16.0,36.0,30.8
