squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Atalanta,30.0,45.1,38.0,418.0,3420.0,46.0,36.0,5.0,8.0,87.0,4.0,1.21,0.95,2.16,1.08,2.03,42.3,36.2,25.6,1.11,0.67,1.79,0.95,1.63,38.0,38.0,3420.0,90.0,2.37,225.0,139.0,62.7,6.0,9.0,23.0,5.0,13.2,7.0,6.0,1.0,0.0,38.0,1.0,6.0,0.0,81.7,0.35,-8.3,-0.22,315.0,777.0,40.5,1392.0,165.0,44.5,37.3,308.0,51.0,39.9,287.0,21.0,7.3,24.0,0.63,13.3,321.0,109.0,15.0,34.0,8.45,2.87,0.13,0.38,0.11,3.7,4.8,14415.0,18300.0,78.8,281332.0,100992.0,5805.0,6646.0,87.3,6166.0,7161.0,86.1,2150.0,3773.0,57.0,10.4,222.0,859.0,208.0,45.0,1014.0,16463.0,1837.0,612.0,29.0,2529.0,356.0,281.0,121.0,43.0,53.0,7.0,12143.0,2429.0,3728.0,4953.0,11469.0,550.0,636.0,274.0,37.0,242.0,468.0,446.0,492.0,12.95,329.0,41.0,40.0,26.0,39.0,79.0,2.08,55.0,5.0,6.0,5.0,6.0,793.0,514.0,481.0,251.0,61.0,264.0,712.0,37.1,448.0,6254.0,1932.0,30.9,2667.0,2532.0,1055.0,651.0,160.0,4.0,491.0,522.0,857.0,11.0,22950.0,3407.0,9475.0,10736.0,4073.0,585.0,21196.0,324.0,549.0,59.0,367.0,25.0,14040.0,71069.0,35726.0,1090.0,358.0,80.0,17492.0,14415.0,82.4,516.0,492.0,3.0,507.0,552.0,42.0,5.0,6.0,1.0,3379.0,563.0,696.0,44.7
vs Benevento,29.0,57.7,38.0,418.0,3420.0,69.0,52.0,4.0,5.0,76.0,6.0,1.82,1.37,3.18,1.71,3.08,66.1,62.5,44.0,1.74,1.16,2.9,1.64,2.8,38.0,38.0,3420.0,40.0,1.05,130.0,94.0,73.1,19.0,12.0,7.0,11.0,28.9,7.0,5.0,1.0,1.0,38.0,0.0,11.0,0.0,40.7,0.28,0.7,0.02,140.0,344.0,40.7,844.0,171.0,29.9,31.9,224.0,41.1,34.8,336.0,40.0,11.9,21.0,0.55,13.9,501.0,175.0,19.0,34.9,13.18,4.61,0.13,0.37,0.13,2.9,2.5,17359.0,20803.0,83.4,340853.0,100870.0,6801.0,7652.0,88.9,7626.0,8615.0,88.5,2616.0,3839.0,68.1,8.0,348.0,1367.0,390.0,89.0,1523.0,19052.0,1751.0,529.0,27.0,2244.0,707.0,542.0,229.0,75.0,87.0,24.0,15004.0,2465.0,3334.0,5741.0,13105.0,618.0,684.0,268.0,77.0,265.0,391.0,418.0,800.0,21.05,586.0,60.0,48.0,49.0,40.0,125.0,3.29,89.0,2.0,12.0,13.0,7.0,504.0,312.0,230.0,206.0,68.0,155.0,406.0,38.2,251.0,4646.0,1359.0,29.3,1428.0,2091.0,1127.0,522.0,134.0,0.0,388.0,327.0,901.0,12.0,24924.0,2360.0,7075.0,12825.0,6899.0,991.0,23237.0,377.0,614.0,61.4,395.0,28.0,16850.0,94377.0,54604.0,2064.0,677.0,152.0,19922.0,17359.0,87.1,447.0,377.0,1.0,625.0,469.0,96.0,4.0,7.0,0.0,3066.0,643.0,549.0,53.9
vs Bologna,37.0,49.1,38.0,418.0,3420.0,63.0,40.0,7.0,9.0,84.0,1.0,1.66,1.05,2.71,1.47,2.53,64.7,58.4,42.7,1.7,1.12,2.82,1.54,2.66,38.0,38.0,3420.0,51.0,1.34,177.0,131.0,72.9,17.0,11.0,10.0,11.0,28.9,4.0,3.0,1.0,0.0,38.0,0.0,7.0,2.0,53.1,0.29,4.1,0.11,238.0,641.0,37.1,1054.0,151.0,46.1,37.8,242.0,64.0,46.6,295.0,16.0,5.4,16.0,0.42,13.4,531.0,187.0,21.0,35.2,13.97,4.92,0.11,0.3,0.11,-1.7,-2.4,14164.0,17968.0,78.8,274154.0,94347.0,5821.0,6684.0,87.1,5916.0,6899.0,85.8,2128.0,3612.0,58.9,-2.7,402.0,1112.0,390.0,82.0,1321.0,16050.0,1918.0,573.0,37.0,2704.0,443.0,437.0,220.0,70.0,95.0,25.0,12109.0,2291.0,3568.0,5017.0,10909.0,595.0,751.0,237.0,63.0,272.0,422.0,499.0,870.0,22.89,655.0,64.0,52.0,43.0,31.0,98.0,2.58,61.0,8.0,9.0,12.0,6.0,672.0,406.0,324.0,270.0,78.0,238.0,648.0,36.7,410.0,5242.0,1536.0,29.3,1875.0,2231.0,1136.0,605.0,138.0,1.0,467.0,428.0,787.0,11.0,22340.0,2461.0,6931.0,10300.0,6495.0,1036.0,20484.0,334.0,522.0,64.0,348.0,14.0,14023.0,76169.0,41728.0,1701.0,570.0,180.0,17040.0,14164.0,83.1,446.0,402.0,0.0,501.0,503.0,73.0,6.0,4.0,2.0,3253.0,615.0,636.0,49.2
vs Cagliari,32.0,55.4,38.0,418.0,3420.0,59.0,45.0,5.0,5.0,76.0,5.0,1.55,1.18,2.74,1.42,2.61,63.1,59.4,48.2,1.66,1.27,2.93,1.56,2.83,38.0,38.0,3420.0,43.0,1.13,123.0,83.0,68.3,19.0,10.0,9.0,14.0,36.8,5.0,4.0,1.0,0.0,38.0,2.0,8.0,0.0,43.3,0.32,0.3,0.01,202.0,474.0,42.6,1001.0,138.0,35.5,33.8,273.0,43.6,37.5,383.0,21.0,5.5,25.0,0.66,14.3,552.0,198.0,18.0,35.9,14.53,5.21,0.1,0.27,0.11,-4.1,-5.4,17210.0,20670.0,83.3,339687.0,107324.0,6696.0,7447.0,89.9,7575.0,8490.0,89.2,2631.0,4024.0,65.4,-3.2,397.0,1214.0,407.0,92.0,1431.0,18792.0,1878.0,550.0,46.0,2757.0,654.0,502.0,217.0,70.0,84.0,17.0,14526.0,2635.0,3509.0,5785.0,12880.0,625.0,746.0,241.0,71.0,286.0,360.0,428.0,869.0,22.87,644.0,67.0,51.0,54.0,38.0,106.0,2.79,79.0,6.0,7.0,6.0,6.0,609.0,371.0,290.0,230.0,89.0,188.0,553.0,34.0,365.0,4822.0,1413.0,29.3,1618.0,2077.0,1127.0,555.0,132.0,2.0,423.0,398.0,960.0,7.0,25105.0,2663.0,8277.0,11893.0,6550.0,1092.0,23285.0,347.0,573.0,60.6,372.0,25.0,16391.0,87595.0,47929.0,1795.0,561.0,188.0,19836.0,17210.0,86.8,453.0,429.0,3.0,510.0,498.0,83.0,4.0,5.0,0.0,3021.0,662.0,693.0,48.9
vs Crotone,31.0,53.6,38.0,418.0,3420.0,90.0,68.0,5.0,5.0,90.0,5.0,2.37,1.79,4.16,2.24,4.03,71.6,67.9,51.6,1.88,1.36,3.24,1.79,3.14,38.0,38.0,3420.0,45.0,1.18,111.0,74.0,67.6,27.0,5.0,6.0,14.0,36.8,9.0,9.0,0.0,0.0,38.0,1.0,6.0,1.0,37.5,0.27,-6.5,-0.17,204.0,511.0,39.9,956.0,160.0,39.1,35.7,231.0,59.3,42.7,286.0,38.0,13.3,20.0,0.53,14.8,589.0,212.0,29.0,36.0,15.5,5.58,0.14,0.4,0.12,18.4,17.1,16538.0,20134.0,82.1,321884.0,103727.0,6694.0,7503.0,89.2,6963.0,7959.0,87.5,2540.0,3944.0,64.4,16.4,444.0,1240.0,371.0,81.0,1450.0,18309.0,1825.0,553.0,37.0,2421.0,606.0,473.0,228.0,92.0,87.0,12.0,14172.0,2436.0,3526.0,5699.0,12464.0,601.0,707.0,267.0,98.0,263.0,340.0,438.0,956.0,25.16,702.0,84.0,45.0,57.0,49.0,147.0,3.87,111.0,7.0,6.0,13.0,6.0,665.0,410.0,284.0,274.0,107.0,219.0,599.0,36.6,380.0,5666.0,1788.0,31.6,1552.0,2557.0,1557.0,501.0,101.0,1.0,400.0,388.0,664.0,12.0,24271.0,2216.0,6751.0,12068.0,6910.0,1092.0,22513.0,315.0,535.0,58.9,337.0,16.0,16115.0,84280.0,44948.0,1936.0,587.0,204.0,19335.0,16538.0,85.5,448.0,404.0,2.0,524.0,502.0,105.0,4.0,9.0,1.0,3204.0,575.0,503.0,53.3
vs Fiorentina,30.0,53.8,38.0,418.0,3420.0,57.0,39.0,8.0,11.0,81.0,2.0,1.5,1.03,2.53,1.29,2.32,55.1,46.6,38.9,1.45,1.02,2.47,1.23,2.25,38.0,38.0,3420.0,47.0,1.24,119.0,77.0,65.5,16.0,13.0,9.0,12.0,31.6,6.0,6.0,0.0,0.0,38.0,1.0,5.0,3.0,47.4,0.36,3.4,0.09,203.0,421.0,48.2,952.0,155.0,34.1,33.1,237.0,40.5,35.3,373.0,20.0,5.4,25.0,0.66,14.5,446.0,138.0,19.0,30.9,11.74,3.63,0.11,0.36,0.11,1.9,2.4,16205.0,19618.0,82.6,314981.0,96725.0,6390.0,7180.0,89.0,7248.0,8273.0,87.6,2298.0,3576.0,64.3,0.1,336.0,1121.0,306.0,74.0,1256.0,17890.0,1728.0,554.0,48.0,2489.0,503.0,494.0,169.0,49.0,72.0,11.0,14075.0,2332.0,3211.0,5571.0,12156.0,616.0,675.0,230.0,78.0,308.0,349.0,376.0,728.0,19.16,523.0,70.0,40.0,39.0,40.0,97.0,2.55,71.0,8.0,4.0,7.0,7.0,733.0,447.0,377.0,282.0,74.0,199.0,541.0,36.8,342.0,5062.0,1480.0,29.2,1862.0,2271.0,929.0,556.0,95.0,2.0,461.0,331.0,887.0,8.0,23856.0,2511.0,7853.0,11866.0,5751.0,840.0,22181.0,309.0,558.0,55.4,338.0,20.0,15547.0,86237.0,48785.0,1829.0,529.0,149.0,18744.0,16205.0,86.5,401.0,362.0,1.0,547.0,508.0,97.0,9.0,6.0,3.0,2975.0,609.0,571.0,51.6
vs Genoa,34.0,55.3,38.0,418.0,3420.0,56.0,40.0,7.0,7.0,69.0,1.0,1.47,1.05,2.53,1.29,2.34,54.5,49.4,38.3,1.43,1.01,2.44,1.3,2.31,38.0,38.0,3420.0,47.0,1.24,122.0,80.0,64.8,16.0,12.0,10.0,9.0,23.7,4.0,4.0,0.0,0.0,38.0,0.0,3.0,1.0,40.5,0.31,-5.5,-0.15,214.0,465.0,46.0,1096.0,168.0,34.1,34.4,185.0,49.2,39.3,293.0,23.0,7.8,22.0,0.58,14.5,538.0,182.0,24.0,33.8,14.16,4.79,0.09,0.27,0.09,1.5,-0.4,18204.0,22076.0,82.5,363983.0,112382.0,6795.0,7744.0,87.7,8164.0,9278.0,88.0,2935.0,4267.0,68.8,1.7,398.0,1327.0,379.0,85.0,1604.0,20270.0,1806.0,564.0,28.0,2857.0,585.0,517.0,214.0,93.0,73.0,19.0,15553.0,2809.0,3714.0,6230.0,13557.0,764.0,739.0,277.0,31.0,289.0,454.0,461.0,860.0,22.63,623.0,77.0,56.0,29.0,57.0,93.0,2.45,65.0,5.0,11.0,5.0,7.0,613.0,416.0,288.0,247.0,78.0,231.0,524.0,44.1,293.0,5052.0,1578.0,31.2,1459.0,2307.0,1286.0,547.0,104.0,5.0,443.0,353.0,759.0,13.0,26335.0,2379.0,7935.0,13323.0,6829.0,976.0,24585.0,347.0,587.0,59.1,373.0,20.0,17524.0,91412.0,49610.0,1896.0,582.0,175.0,21255.0,18204.0,85.6,513.0,427.0,0.0,507.0,506.0,39.0,7.0,4.0,1.0,3620.0,724.0,541.0,57.2
vs Hellas Verona,32.0,50.2,38.0,418.0,3420.0,46.0,31.0,6.0,7.0,81.0,2.0,1.21,0.82,2.03,1.05,1.87,50.3,45.2,33.8,1.32,0.89,2.21,1.19,2.08,38.0,38.0,3420.0,43.0,1.13,120.0,78.0,66.7,15.0,12.0,10.0,9.0,23.7,3.0,3.0,0.0,0.0,38.0,1.0,3.0,5.0,39.7,0.31,1.7,0.04,309.0,766.0,40.3,1264.0,150.0,50.8,40.5,243.0,51.0,40.0,327.0,30.0,9.2,25.0,0.66,15.2,528.0,139.0,21.0,26.3,13.89,3.66,0.08,0.29,0.09,-4.3,-5.2,13670.0,18016.0,75.9,266960.0,100851.0,5501.0,6473.0,85.0,5747.0,6980.0,82.3,2095.0,3815.0,54.9,-2.8,393.0,1031.0,326.0,86.0,1252.0,16027.0,1989.0,702.0,16.0,2521.0,431.0,436.0,187.0,63.0,77.0,17.0,10792.0,2798.0,4426.0,4919.0,10573.0,853.0,748.0,280.0,35.0,303.0,431.0,427.0,829.0,21.82,597.0,71.0,43.0,57.0,45.0,71.0,1.87,48.0,4.0,2.0,9.0,7.0,589.0,378.0,316.0,227.0,46.0,177.0,524.0,33.8,347.0,5207.0,1736.0,33.3,1872.0,2325.0,1010.0,638.0,128.0,3.0,510.0,444.0,892.0,5.0,22486.0,2740.0,7504.0,10593.0,5577.0,1000.0,20560.0,260.0,451.0,57.6,286.0,13.0,13227.0,70362.0,34786.0,1300.0,417.0,184.0,16808.0,13670.0,81.3,506.0,377.0,1.0,561.0,597.0,42.0,6.0,3.0,5.0,3758.0,878.0,858.0,50.6
vs Inter,25.0,47.6,38.0,418.0,3420.0,34.0,19.0,5.0,7.0,84.0,3.0,0.89,0.5,1.39,0.76,1.26,38.6,33.0,24.7,1.02,0.65,1.66,0.87,1.52,38.0,38.0,3420.0,89.0,2.34,197.0,120.0,58.9,3.0,7.0,28.0,1.0,2.6,9.0,8.0,1.0,0.0,38.0,1.0,10.0,5.0,74.2,0.34,-9.8,-0.26,208.0,514.0,40.5,1024.0,164.0,37.6,36.0,282.0,45.7,39.3,335.0,15.0,4.5,21.0,0.55,14.0,380.0,112.0,13.0,29.5,10.0,2.95,0.08,0.26,0.09,-4.6,-4.0,16679.0,19770.0,84.4,321478.0,92460.0,6663.0,7338.0,90.8,7347.0,8171.0,89.9,2376.0,3587.0,66.2,-5.7,291.0,1158.0,253.0,73.0,1052.0,18203.0,1567.0,511.0,16.0,2283.0,490.0,382.0,137.0,44.0,57.0,9.0,14742.0,2080.0,2948.0,5557.0,12728.0,453.0,501.0,246.0,28.0,259.0,343.0,402.0,615.0,16.18,450.0,55.0,20.0,29.0,41.0,55.0,1.45,38.0,1.0,3.0,7.0,5.0,516.0,303.0,288.0,175.0,53.0,164.0,443.0,37.0,279.0,5671.0,1524.0,26.9,2097.0,2306.0,1268.0,572.0,135.0,0.0,437.0,480.0,731.0,17.0,23583.0,2798.0,7828.0,11282.0,5931.0,683.0,22086.0,299.0,494.0,60.5,314.0,21.0,15763.0,82294.0,42396.0,1747.0,575.0,125.0,19048.0,16679.0,87.6,374.0,363.0,1.0,449.0,441.0,32.0,5.0,9.0,5.0,2559.0,425.0,523.0,44.8
vs Juventus,30.0,42.9,38.0,418.0,3420.0,36.0,21.0,6.0,9.0,85.0,2.0,0.95,0.55,1.5,0.79,1.34,38.2,31.5,23.1,1.01,0.61,1.61,0.83,1.44,38.0,38.0,3420.0,77.0,2.03,204.0,134.0,66.2,6.0,9.0,23.0,6.0,15.8,10.0,8.0,2.0,0.0,38.0,0.0,11.0,1.0,72.8,0.32,-3.2,-0.09,256.0,558.0,45.9,935.0,142.0,45.1,37.4,272.0,50.0,40.6,346.0,25.0,7.2,16.0,0.42,12.9,423.0,114.0,22.0,27.0,11.13,3.0,0.07,0.26,0.07,-2.2,-1.5,14460.0,17559.0,82.4,276984.0,89787.0,6080.0,6744.0,90.2,6033.0,6917.0,87.2,2052.0,3217.0,63.8,-2.1,304.0,1099.0,283.0,74.0,1102.0,15825.0,1734.0,565.0,16.0,2247.0,501.0,419.0,162.0,46.0,74.0,6.0,12574.0,1964.0,3021.0,4863.0,11109.0,459.0,605.0,224.0,33.0,218.0,349.0,412.0,669.0,17.61,492.0,50.0,42.0,29.0,42.0,59.0,1.55,39.0,3.0,2.0,4.0,9.0,617.0,358.0,301.0,221.0,95.0,200.0,628.0,31.8,428.0,5650.0,1432.0,25.3,1974.0,2368.0,1308.0,584.0,174.0,1.0,410.0,458.0,732.0,10.0,21627.0,2754.0,7270.0,9837.0,5913.0,754.0,19958.0,334.0,558.0,59.9,364.0,31.0,13518.0,71527.0,39699.0,1634.0,521.0,148.0,16862.0,14460.0,85.8,383.0,434.0,1.0,493.0,489.0,40.0,6.0,10.0,1.0,2560.0,397.0,465.0,46.1
