player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,22.0,20.0,1777.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,1.2,1.2,0.8,0.06,0.04,0.1,0.06,0.1,19.7,18.0,6.0,3.0,33.3,0.91,0.3,0.0,0.0,0.07,-1.2,-1.2,889.0,1127.0,78.9,14909.0,6947.0,454.0,512.0,88.7,339.0,417.0,81.3,79.0,152.0,52.0,0.2,11.0,68.0,26.0,4.0,112.0,932.0,195.0,36.0,2.0,112.0,20.0,34.0,2.0,0.0,2.0,0.0,717.0,219.0,191.0,743.0,194.0,25.0,157.0,3.0,12.0,22.0,29.0,34.0,26.0,1.32,22.0,3.0,1.0,0.0,0.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0,33.0,19.0,21.0,11.0,1.0,15.0,42.0,35.7,27.0,206.0,69.0,33.5,130.0,56.0,20.0,31.0,7.0,1.0,24.0,34.0,40.0,1.0,1323.0,72.0,405.0,643.0,344.0,38.0,1126.0,9.0,21.0,42.9,9.0,0.0,733.0,3522.0,1907.0,114.0,30.0,9.0,835.0,775.0,92.8,13.0,16.0,0.0,11.0,4.0,3.0,0.0,0.0,0.0,179.0,10.0,11.0,47.6
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,22.0,12.0,1040.0,6.0,1.0,0.0,0.0,0.0,0.0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,0.56,0.07,0.63,0.56,0.63,11.6,32.0,13.0,0.0,40.6,2.77,1.13,0.19,0.46,0.2,-0.4,-0.4,149.0,218.0,68.3,2057.0,327.0,92.0,118.0,78.0,39.0,64.0,60.9,9.0,15.0,60.0,0.1,8.0,12.0,2.0,0.0,11.0,208.0,10.0,2.0,0.0,77.0,1.0,4.0,0.0,0.0,0.0,0.0,136.0,54.0,28.0,17.0,147.0,18.0,0.0,12.0,0.0,4.0,3.0,13.0,18.0,1.56,11.0,0.0,1.0,3.0,3.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,3.0,4.0,1.0,1.0,6.0,16.7,5.0,162.0,38.0,23.5,13.0,71.0,78.0,9.0,2.0,0.0,7.0,2.0,17.0,0.0,356.0,21.0,40.0,167.0,166.0,66.0,347.0,6.0,19.0,31.6,6.0,2.0,177.0,709.0,252.0,13.0,5.0,4.0,491.0,251.0,51.1,26.0,13.0,0.0,22.0,12.0,5.0,1.0,0.0,0.0,47.0,39.0,28.0,58.2
Che Adams,sct SCO,FW,Southampton,24,1996,36.0,30.0,2667.0,9.0,5.0,0.0,0.0,1.0,0.0,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,0.3,0.19,0.49,0.3,0.49,29.6,56.0,31.0,0.0,55.4,1.89,1.05,0.16,0.29,0.16,0.2,0.2,443.0,633.0,70.0,7359.0,1633.0,227.0,302.0,75.2,143.0,184.0,77.7,51.0,73.0,69.9,-0.8,34.0,27.0,25.0,2.0,61.0,621.0,12.0,1.0,8.0,176.0,14.0,13.0,0.0,0.0,0.0,0.0,398.0,125.0,110.0,39.0,500.0,36.0,0.0,24.0,6.0,9.0,28.0,33.0,66.0,2.23,48.0,0.0,1.0,6.0,8.0,8.0,0.27,7.0,0.0,0.0,0.0,1.0,0.0,30.0,17.0,5.0,13.0,12.0,6.0,23.0,26.1,17.0,430.0,138.0,32.1,48.0,162.0,220.0,26.0,4.0,0.0,22.0,11.0,16.0,1.0,976.0,22.0,98.0,444.0,492.0,110.0,965.0,25.0,44.0,56.8,28.0,0.0,630.0,2627.0,1169.0,67.0,27.0,10.0,1474.0,734.0,49.8,74.0,52.0,0.0,29.0,55.0,19.0,0.0,0.0,0.0,119.0,47.0,141.0,25.0
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,33.0,33.0,2953.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.4,0.03,0.01,0.04,0.03,0.04,32.8,20.0,5.0,0.0,25.0,0.61,0.15,0.0,0.0,0.05,-1.1,-1.1,1594.0,1824.0,87.4,37337.0,11928.0,304.0,340.0,89.4,934.0,985.0,94.8,346.0,470.0,73.6,-0.4,5.0,68.0,5.0,1.0,73.0,1775.0,49.0,42.0,2.0,175.0,49.0,3.0,0.0,0.0,0.0,0.0,1409.0,128.0,287.0,248.0,1442.0,81.0,7.0,3.0,3.0,32.0,21.0,16.0,17.0,0.52,16.0,0.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,41.0,26.0,31.0,9.0,1.0,20.0,38.0,52.6,18.0,182.0,59.0,32.4,115.0,60.0,7.0,38.0,23.0,0.0,15.0,55.0,241.0,1.0,2221.0,462.0,1338.0,920.0,73.0,34.0,2172.0,8.0,11.0,72.7,9.0,0.0,1324.0,6173.0,3455.0,50.0,6.0,0.0,1531.0,1491.0,97.4,5.0,8.0,0.0,16.0,6.0,2.0,0.0,1.0,1.0,278.0,100.0,39.0,71.9
Adrián,es ESP,GK,Liverpool,33,1987,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,99.0,76.8,2031.0,1135.0,16.0,16.0,100.0,37.0,38.0,97.4,21.0,43.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,70.0,29.0,7.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,9.0,33.0,12.0,66.0,0.0,0.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,113.0,102.0,113.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,50.0,162.0,74.0,0.0,0.0,0.0,47.0,46.0,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,"FW,MF",Manchester City,32,1988,12.0,7.0,559.0,4.0,1.0,1.0,2.0,0.0,0.0,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,0.54,0.21,0.75,0.3,0.51,6.2,17.0,10.0,0.0,58.8,2.74,1.61,0.18,0.3,0.11,0.6,1.2,143.0,170.0,84.1,1867.0,285.0,82.0,94.0,87.2,42.0,48.0,87.5,5.0,5.0,100.0,-0.3,6.0,11.0,6.0,1.0,12.0,160.0,10.0,0.0,0.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,144.0,18.0,8.0,14.0,150.0,2.0,1.0,2.0,0.0,0.0,4.0,8.0,16.0,2.58,13.0,0.0,2.0,0.0,0.0,3.0,0.48,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,11.0,18.2,9.0,89.0,25.0,28.1,8.0,31.0,50.0,5.0,1.0,0.0,4.0,4.0,1.0,0.0,246.0,0.0,10.0,109.0,143.0,50.0,234.0,9.0,15.0,60.0,10.0,2.0,167.0,704.0,326.0,22.0,7.0,2.0,285.0,193.0,67.7,11.0,13.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,18.0,2.0,6.0,25.0
Ola Aina,ng NGA,DF,Fulham,23,1996,31.0,31.0,2664.0,2.0,1.0,0.0,0.0,3.0,0.0,0.07,0.03,0.1,0.07,0.1,1.0,1.0,1.4,0.03,0.05,0.08,0.03,0.08,29.6,14.0,4.0,1.0,28.6,0.47,0.14,0.14,0.5,0.07,1.0,1.0,1329.0,1711.0,77.7,25538.0,10322.0,526.0,584.0,90.1,617.0,717.0,86.1,170.0,354.0,48.0,-0.4,14.0,98.0,15.0,9.0,98.0,1428.0,283.0,33.0,0.0,121.0,38.0,42.0,0.0,0.0,0.0,0.0,1007.0,270.0,434.0,292.0,1068.0,84.0,250.0,4.0,1.0,24.0,43.0,45.0,26.0,0.88,22.0,2.0,0.0,0.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,47.0,25.0,27.0,14.0,6.0,17.0,41.0,41.5,24.0,261.0,65.0,24.9,143.0,96.0,22.0,47.0,8.0,0.0,39.0,52.0,121.0,0.0,2031.0,117.0,787.0,1004.0,355.0,21.0,1766.0,21.0,34.0,61.8,22.0,2.0,1159.0,6044.0,3336.0,114.0,35.0,5.0,1289.0,1230.0,95.4,20.0,15.0,0.0,31.0,26.0,2.0,0.0,0.0,0.0,251.0,33.0,43.0,43.4
Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,21.0,16.0,1404.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1.0,0.04,0.06,0.1,0.04,0.1,15.6,16.0,6.0,0.0,37.5,1.03,0.38,0.06,0.17,0.04,0.4,0.4,657.0,785.0,83.7,10835.0,3074.0,327.0,356.0,91.9,278.0,312.0,89.1,41.0,81.0,50.6,0.0,13.0,30.0,14.0,5.0,46.0,651.0,134.0,7.0,0.0,78.0,12.0,30.0,7.0,1.0,3.0,3.0,516.0,164.0,105.0,569.0,67.0,20.0,120.0,2.0,1.0,5.0,10.0,33.0,30.0,1.92,19.0,3.0,7.0,0.0,1.0,2.0,0.13,1.0,0.0,1.0,0.0,0.0,0.0,31.0,16.0,16.0,13.0,2.0,12.0,26.0,46.2,14.0,241.0,72.0,29.9,131.0,74.0,36.0,27.0,0.0,0.0,27.0,15.0,39.0,0.0,986.0,43.0,264.0,465.0,322.0,29.0,853.0,37.0,61.0,60.7,38.0,2.0,651.0,3125.0,2044.0,98.0,31.0,14.0,666.0,613.0,92.0,22.0,21.0,0.0,16.0,19.0,1.0,0.0,1.0,0.0,118.0,14.0,21.0,40.0
Semi Ajayi,ng NGA,DF,West Brom,26,1993,33.0,31.0,2780.0,2.0,0.0,0.0,0.0,3.0,1.0,0.06,0.0,0.06,0.06,0.06,1.3,1.3,0.3,0.04,0.01,0.05,0.04,0.05,30.9,13.0,4.0,0.0,30.8,0.42,0.13,0.15,0.5,0.1,0.7,0.7,705.0,948.0,74.4,15527.0,6592.0,198.0,232.0,85.3,364.0,445.0,81.8,137.0,255.0,53.7,-0.3,5.0,67.0,4.0,0.0,64.0,888.0,60.0,11.0,1.0,121.0,29.0,6.0,0.0,0.0,0.0,0.0,573.0,111.0,264.0,49.0,728.0,71.0,49.0,3.0,7.0,28.0,29.0,12.0,14.0,0.45,11.0,0.0,2.0,1.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,58.0,42.0,44.0,12.0,2.0,18.0,36.0,50.0,18.0,340.0,132.0,38.8,221.0,102.0,17.0,62.0,35.0,3.0,27.0,41.0,148.0,3.0,1280.0,233.0,708.0,551.0,81.0,36.0,1221.0,12.0,18.0,66.7,13.0,1.0,611.0,3331.0,1762.0,29.0,10.0,0.0,691.0,627.0,90.7,11.0,13.0,0.0,28.0,4.0,1.0,0.0,2.0,0.0,264.0,85.0,46.0,64.9
Nathan Aké,nl NED,DF,Manchester City,25,1995,10.0,9.0,797.0,1.0,0.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.01,0.0,0.02,0.01,0.02,8.9,3.0,1.0,0.0,33.3,0.34,0.11,0.33,1.0,0.04,0.9,0.9,702.0,755.0,93.0,12873.0,3534.0,289.0,299.0,96.7,349.0,372.0,93.8,60.0,73.0,82.2,0.0,1.0,60.0,2.0,0.0,36.0,730.0,25.0,13.0,0.0,44.0,10.0,0.0,0.0,0.0,0.0,0.0,659.0,32.0,64.0,583.0,116.0,21.0,11.0,3.0,0.0,3.0,7.0,7.0,3.0,0.34,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,7.0,6.0,2.0,4.0,5.0,80.0,1.0,73.0,25.0,34.2,35.0,30.0,8.0,6.0,2.0,0.0,4.0,6.0,26.0,0.0,821.0,42.0,222.0,583.0,83.0,5.0,796.0,0.0,0.0,0.0,0.0,0.0,607.0,3010.0,1847.0,70.0,27.0,0.0,671.0,656.0,97.8,3.0,2.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,80.0,30.0,17.0,63.8
