squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Arsenal,29.0,46.2,38.0,418.0,3420.0,35.0,25.0,2.0,3.0,74.0,2.0,0.92,0.66,1.58,0.87,1.53,44.3,42.1,29.9,1.17,0.79,1.95,1.11,1.89,38.0,38.0,3420.0,55.0,1.45,141.0,93.0,65.2,13.0,7.0,18.0,12.0,31.6,6.0,6.0,0.0,0.0,38.0,2.0,4.0,2.0,50.2,0.33,-2.8,-0.07,291.0,699.0,41.6,1069.0,139.0,48.6,40.8,268.0,66.8,50.2,345.0,34.0,9.9,25.0,0.66,14.8,419.0,128.0,11.0,30.5,11.03,3.37,0.08,0.26,0.1,-9.3,-9.1,15184.0,18673.0,81.3,298685.0,91667.0,6096.0,6847.0,89.0,6687.0,7580.0,88.2,2159.0,3629.0,59.5,-4.9,302.0,1069.0,270.0,71.0,942.0,17108.0,1565.0,387.0,23.0,2293.0,467.0,444.0,166.0,65.0,51.0,19.0,12833.0,2247.0,3593.0,5295.0,11380.0,671.0,651.0,225.0,46.0,269.0,323.0,422.0,651.0,17.13,467.0,55.0,43.0,35.0,31.0,58.0,1.53,35.0,5.0,3.0,9.0,4.0,605.0,370.0,297.0,232.0,76.0,244.0,569.0,42.9,325.0,5344.0,1430.0,26.8,1866.0,2123.0,1355.0,593.0,144.0,6.0,449.0,383.0,895.0,9.0,22660.0,2848.0,7875.0,10338.0,5742.0,796.0,21131.0,327.0,516.0,63.4,341.0,18.0,14437.0,72040.0,38508.0,1533.0,480.0,170.0,17944.0,15184.0,84.6,362.0,336.0,1.0,422.0,335.0,53.0,3.0,6.0,2.0,2949.0,606.0,515.0,54.1
vs Aston Villa,24.0,51.9,38.0,418.0,3420.0,45.0,30.0,5.0,6.0,73.0,7.0,1.18,0.79,1.97,1.05,1.84,52.9,48.4,32.7,1.39,0.86,2.25,1.27,2.13,38.0,38.0,3420.0,55.0,1.45,179.0,131.0,72.1,15.0,7.0,16.0,8.0,21.1,6.0,5.0,0.0,1.0,38.0,0.0,7.0,3.0,54.6,0.28,2.6,0.07,222.0,596.0,37.2,842.0,124.0,48.6,40.9,286.0,65.4,50.5,384.0,27.0,7.0,21.0,0.55,14.7,536.0,177.0,25.0,33.0,14.11,4.66,0.07,0.23,0.09,-7.9,-8.4,14014.0,17789.0,78.8,269127.0,91433.0,5945.0,6733.0,88.3,5922.0,6913.0,85.7,1897.0,3503.0,54.2,-2.7,384.0,1013.0,373.0,95.0,1278.0,16006.0,1783.0,478.0,21.0,2564.0,484.0,553.0,191.0,74.0,66.0,15.0,11644.0,2290.0,3855.0,4903.0,10649.0,745.0,735.0,208.0,38.0,311.0,363.0,429.0,844.0,22.21,635.0,52.0,45.0,45.0,51.0,76.0,2.0,50.0,5.0,4.0,9.0,6.0,611.0,370.0,324.0,198.0,89.0,193.0,608.0,31.7,415.0,5617.0,1556.0,27.7,2111.0,2257.0,1249.0,573.0,168.0,3.0,405.0,390.0,1048.0,13.0,22242.0,2691.0,7694.0,9625.0,6204.0,1047.0,20499.0,334.0,558.0,59.9,354.0,19.0,13370.0,71569.0,40923.0,1649.0,460.0,203.0,17035.0,14014.0,82.3,407.0,389.0,2.0,567.0,419.0,49.0,5.0,6.0,3.0,3267.0,735.0,781.0,48.5
vs Brighton,27.0,48.7,38.0,418.0,3420.0,44.0,30.0,6.0,7.0,51.0,2.0,1.16,0.79,1.95,1.0,1.79,37.7,32.4,23.9,0.99,0.63,1.62,0.85,1.48,38.0,38.0,3420.0,40.0,1.05,129.0,96.0,73.6,15.0,14.0,9.0,12.0,31.6,9.0,6.0,0.0,3.0,38.0,0.0,5.0,1.0,41.0,0.29,2.0,0.05,253.0,623.0,40.6,876.0,177.0,47.4,39.2,323.0,64.4,49.1,336.0,23.0,6.8,21.0,0.55,14.2,352.0,117.0,10.0,33.2,9.26,3.08,0.11,0.32,0.09,6.3,5.6,15002.0,18652.0,80.4,289106.0,90861.0,6175.0,6942.0,89.0,6427.0,7336.0,87.6,2122.0,3633.0,58.4,6.1,257.0,1060.0,279.0,64.0,1085.0,16878.0,1774.0,459.0,31.0,2558.0,483.0,423.0,165.0,73.0,40.0,6.0,12738.0,2270.0,3644.0,5559.0,10917.0,717.0,749.0,251.0,50.0,283.0,378.0,460.0,546.0,14.37,406.0,45.0,28.0,23.0,35.0,73.0,1.92,46.0,9.0,2.0,6.0,10.0,579.0,335.0,302.0,206.0,71.0,174.0,545.0,31.9,371.0,5577.0,1457.0,26.1,2030.0,2256.0,1291.0,609.0,164.0,2.0,445.0,432.0,905.0,7.0,22972.0,2590.0,8044.0,10353.0,5954.0,775.0,21245.0,354.0,602.0,58.8,384.0,43.0,14345.0,72926.0,39154.0,1514.0,461.0,137.0,17787.0,15002.0,84.3,482.0,447.0,0.0,380.0,409.0,54.0,6.0,9.0,1.0,3134.0,605.0,553.0,52.2
vs Burnley,25.0,58.3,38.0,418.0,3420.0,54.0,47.0,3.0,3.0,32.0,2.0,1.42,1.24,2.66,1.34,2.58,57.6,55.4,43.6,1.52,1.15,2.66,1.46,2.6,38.0,38.0,3420.0,33.0,0.87,125.0,96.0,76.0,19.0,9.0,10.0,17.0,44.7,3.0,3.0,0.0,0.0,38.0,0.0,7.0,1.0,39.0,0.3,7.0,0.19,202.0,686.0,29.4,1089.0,216.0,45.5,38.9,262.0,72.9,52.6,374.0,51.0,13.6,36.0,0.95,15.8,562.0,179.0,12.0,31.9,14.79,4.71,0.09,0.28,0.1,-3.6,-4.4,16787.0,21050.0,79.7,321537.0,101090.0,7053.0,7963.0,88.6,7063.0,8202.0,86.1,2345.0,4130.0,56.8,3.4,432.0,1120.0,414.0,89.0,1366.0,19240.0,1810.0,448.0,41.0,2293.0,571.0,556.0,237.0,71.0,74.0,19.0,13961.0,2737.0,4352.0,5759.0,12678.0,929.0,791.0,318.0,74.0,373.0,381.0,459.0,900.0,23.68,708.0,64.0,48.0,39.0,27.0,103.0,2.71,83.0,5.0,8.0,3.0,4.0,486.0,282.0,239.0,196.0,51.0,151.0,420.0,36.0,269.0,4524.0,1366.0,30.2,1609.0,1976.0,939.0,480.0,110.0,3.0,370.0,297.0,1107.0,10.0,25362.0,2731.0,8814.0,11364.0,6827.0,1083.0,23602.0,320.0,552.0,58.0,350.0,23.0,16017.0,90253.0,50590.0,2042.0,596.0,219.0,20161.0,16787.0,83.3,428.0,362.0,0.0,403.0,364.0,81.0,3.0,3.0,1.0,3820.0,898.0,951.0,48.6
vs Chelsea,27.0,38.6,38.0,418.0,3420.0,35.0,26.0,3.0,4.0,56.0,3.0,0.92,0.68,1.61,0.84,1.53,32.8,29.8,22.0,0.86,0.58,1.44,0.78,1.36,38.0,38.0,3420.0,58.0,1.53,194.0,142.0,74.2,9.0,10.0,19.0,10.0,26.3,10.0,8.0,2.0,0.0,38.0,0.0,10.0,2.0,63.3,0.29,7.3,0.19,238.0,653.0,36.4,940.0,155.0,50.4,41.0,280.0,63.9,50.2,341.0,28.0,8.2,8.0,0.21,12.5,332.0,103.0,15.0,31.0,8.74,2.71,0.1,0.31,0.09,2.2,2.2,12649.0,16359.0,77.3,247319.0,82050.0,5131.0,5909.0,86.8,5364.0,6319.0,84.9,1894.0,3404.0,55.6,4.0,239.0,840.0,189.0,32.0,916.0,14516.0,1843.0,489.0,22.0,2288.0,448.0,337.0,160.0,56.0,57.0,12.0,10612.0,2248.0,3499.0,4606.0,9637.0,640.0,818.0,233.0,47.0,322.0,426.0,486.0,510.0,13.42,368.0,40.0,31.0,23.0,32.0,60.0,1.58,43.0,2.0,5.0,3.0,4.0,672.0,414.0,328.0,257.0,87.0,250.0,643.0,38.9,393.0,5512.0,1499.0,27.2,1902.0,2301.0,1309.0,682.0,176.0,4.0,506.0,419.0,801.0,15.0,20664.0,2717.0,7360.0,9414.0,5075.0,638.0,18863.0,338.0,578.0,58.5,368.0,29.0,12180.0,60007.0,30418.0,1163.0,367.0,111.0,15374.0,12649.0,82.3,427.0,466.0,1.0,379.0,418.0,55.0,4.0,10.0,2.0,3047.0,550.0,614.0,47.3
vs Crystal Palace,24.0,59.9,38.0,418.0,3420.0,66.0,47.0,3.0,4.0,44.0,4.0,1.74,1.24,2.97,1.66,2.89,57.5,54.4,39.8,1.51,1.05,2.56,1.43,2.48,38.0,38.0,3420.0,41.0,1.08,129.0,92.0,70.5,18.0,8.0,12.0,14.0,36.8,4.0,3.0,1.0,0.0,38.0,1.0,4.0,2.0,38.6,0.28,-0.4,-0.01,169.0,382.0,44.2,794.0,166.0,35.3,35.0,199.0,51.3,42.8,261.0,19.0,7.3,27.0,0.71,15.0,533.0,173.0,29.0,32.5,14.03,4.55,0.12,0.36,0.1,8.5,8.6,18704.0,22352.0,83.7,369651.0,110245.0,7503.0,8359.0,89.8,8024.0,8959.0,89.6,2848.0,4209.0,67.7,7.2,387.0,1494.0,427.0,123.0,1463.0,20596.0,1756.0,440.0,37.0,2662.0,813.0,491.0,228.0,90.0,94.0,17.0,15732.0,2840.0,3780.0,6235.0,13804.0,779.0,809.0,258.0,37.0,286.0,430.0,507.0,865.0,22.76,606.0,89.0,42.0,55.0,58.0,100.0,2.63,78.0,4.0,3.0,9.0,5.0,748.0,410.0,336.0,302.0,110.0,236.0,637.0,37.0,401.0,5713.0,1727.0,30.2,1825.0,2518.0,1370.0,568.0,119.0,1.0,449.0,409.0,845.0,6.0,26900.0,2084.0,7545.0,13631.0,7348.0,1031.0,25187.0,363.0,646.0,56.2,394.0,34.0,17468.0,87315.0,47390.0,1935.0,501.0,123.0,21553.0,18704.0,86.8,470.0,444.0,1.0,454.0,388.0,49.0,3.0,4.0,2.0,3345.0,724.0,734.0,49.7
vs Everton,29.0,53.5,38.0,418.0,3420.0,47.0,33.0,3.0,4.0,66.0,1.0,1.24,0.87,2.11,1.16,2.03,52.0,48.9,33.5,1.37,0.88,2.25,1.29,2.17,38.0,38.0,3420.0,47.0,1.24,144.0,102.0,70.1,13.0,8.0,17.0,10.0,26.3,5.0,4.0,1.0,0.0,38.0,0.0,11.0,2.0,45.4,0.3,0.4,0.01,176.0,455.0,38.7,871.0,181.0,37.7,36.0,237.0,53.6,45.6,316.0,29.0,9.2,17.0,0.45,13.5,502.0,158.0,22.0,31.5,13.21,4.16,0.09,0.28,0.1,-5.0,-4.9,17393.0,20993.0,82.9,335077.0,107306.0,7022.0,7746.0,90.7,7715.0,8652.0,89.2,2382.0,3838.0,62.1,-0.5,351.0,1275.0,331.0,65.0,1451.0,19235.0,1758.0,422.0,28.0,2593.0,527.0,471.0,226.0,90.0,76.0,20.0,15089.0,2483.0,3421.0,5634.0,13252.0,696.0,788.0,259.0,41.0,250.0,382.0,490.0,772.0,20.32,565.0,68.0,35.0,36.0,45.0,74.0,1.95,52.0,3.0,6.0,4.0,5.0,669.0,393.0,283.0,278.0,108.0,220.0,583.0,37.7,363.0,5448.0,1596.0,29.3,1553.0,2464.0,1431.0,574.0,107.0,0.0,467.0,425.0,774.0,5.0,25398.0,2261.0,7755.0,12397.0,6963.0,976.0,23674.0,382.0,653.0,58.5,413.0,27.0,16289.0,85005.0,46623.0,1890.0,606.0,169.0,20153.0,17393.0,86.3,489.0,445.0,0.0,409.0,374.0,42.0,4.0,5.0,2.0,3254.0,529.0,693.0,43.3
vs Fulham,28.0,50.1,38.0,418.0,3420.0,52.0,34.0,7.0,7.0,40.0,1.0,1.37,0.89,2.26,1.18,2.08,53.0,47.8,36.2,1.39,0.95,2.35,1.26,2.21,38.0,38.0,3420.0,27.0,0.71,123.0,97.0,80.5,20.0,13.0,5.0,18.0,47.4,6.0,3.0,1.0,2.0,38.0,0.0,4.0,1.0,32.9,0.24,6.9,0.18,228.0,583.0,39.1,895.0,154.0,47.2,40.7,276.0,58.3,47.7,385.0,23.0,6.0,25.0,0.66,15.1,421.0,164.0,26.0,39.0,11.08,4.32,0.11,0.27,0.12,-1.0,-2.8,15486.0,19484.0,79.5,313069.0,94389.0,5694.0,6585.0,86.5,7043.0,8061.0,87.4,2469.0,4110.0,60.1,-2.2,282.0,1115.0,291.0,89.0,1111.0,17629.0,1855.0,493.0,43.0,2492.0,519.0,459.0,192.0,63.0,79.0,20.0,13204.0,2585.0,3695.0,5482.0,11655.0,767.0,827.0,242.0,98.0,319.0,482.0,456.0,651.0,17.13,441.0,62.0,40.0,34.0,60.0,88.0,2.32,60.0,5.0,7.0,5.0,10.0,709.0,418.0,332.0,279.0,98.0,238.0,762.0,31.2,524.0,5519.0,1566.0,28.4,1868.0,2444.0,1207.0,618.0,139.0,6.0,479.0,402.0,885.0,7.0,23887.0,2505.0,7761.0,11681.0,5825.0,817.0,22085.0,326.0,561.0,58.1,345.0,18.0,14753.0,73030.0,38678.0,1558.0,467.0,118.0,18455.0,15486.0,83.9,425.0,455.0,0.0,389.0,458.0,103.0,6.0,6.0,1.0,3439.0,679.0,668.0,50.4
vs Leeds United,23.0,42.4,38.0,418.0,3420.0,52.0,36.0,8.0,9.0,49.0,2.0,1.37,0.95,2.32,1.16,2.11,62.9,56.0,41.6,1.66,1.1,2.75,1.47,2.57,38.0,38.0,3420.0,62.0,1.63,196.0,136.0,70.4,15.0,5.0,18.0,10.0,26.3,5.0,4.0,1.0,0.0,38.0,2.0,8.0,2.0,64.2,0.31,4.2,0.11,271.0,714.0,38.0,913.0,165.0,50.5,41.0,316.0,80.1,56.6,386.0,37.0,9.6,17.0,0.45,14.0,549.0,189.0,20.0,34.4,14.45,4.97,0.08,0.23,0.1,-10.9,-12.0,11150.0,14891.0,74.9,213297.0,89088.0,4841.0,5620.0,86.1,4434.0,5407.0,82.0,1598.0,3149.0,50.7,-5.6,406.0,837.0,284.0,39.0,1071.0,12977.0,1914.0,482.0,43.0,3030.0,309.0,327.0,211.0,97.0,88.0,17.0,9197.0,2083.0,3611.0,3997.0,8723.0,661.0,803.0,240.0,44.0,303.0,454.0,418.0,863.0,22.71,564.0,95.0,65.0,48.0,57.0,86.0,2.26,47.0,10.0,6.0,12.0,10.0,617.0,373.0,280.0,237.0,100.0,207.0,558.0,37.1,351.0,5064.0,1588.0,31.4,1661.0,2014.0,1389.0,680.0,146.0,1.0,534.0,520.0,920.0,7.0,19765.0,2541.0,6793.0,8693.0,5742.0,969.0,17893.0,488.0,798.0,61.2,524.0,21.0,11513.0,71011.0,40016.0,1437.0,519.0,195.0,14075.0,11150.0,79.2,493.0,553.0,1.0,434.0,422.0,54.0,8.0,4.0,2.0,3367.0,612.0,589.0,51.0
vs Leicester City,27.0,45.4,38.0,418.0,3420.0,48.0,29.0,4.0,4.0,61.0,1.0,1.26,0.76,2.03,1.16,1.92,47.7,44.7,34.2,1.25,0.9,2.16,1.18,2.08,38.0,38.0,3420.0,68.0,1.79,172.0,116.0,66.3,12.0,6.0,20.0,6.0,15.8,12.0,10.0,2.0,0.0,38.0,1.0,7.0,4.0,60.8,0.3,-3.2,-0.08,225.0,569.0,39.5,901.0,169.0,45.7,39.3,242.0,64.9,49.1,279.0,18.0,6.5,19.0,0.5,13.9,369.0,134.0,17.0,36.3,9.71,3.53,0.12,0.33,0.13,0.3,-0.7,13684.0,17535.0,78.0,275231.0,87318.0,5297.0,6180.0,85.7,5964.0,6901.0,86.4,2182.0,3751.0,58.2,-5.2,273.0,1030.0,272.0,70.0,1049.0,15722.0,1813.0,458.0,45.0,2380.0,561.0,398.0,180.0,103.0,57.0,4.0,11212.0,2474.0,3849.0,4937.0,10372.0,709.0,826.0,223.0,65.0,288.0,419.0,493.0,583.0,15.34,386.0,72.0,39.0,34.0,43.0,73.0,1.92,41.0,8.0,8.0,9.0,5.0,676.0,413.0,336.0,255.0,85.0,248.0,627.0,39.6,379.0,5437.0,1646.0,30.3,1858.0,2340.0,1239.0,633.0,158.0,3.0,475.0,498.0,797.0,13.0,21898.0,2386.0,7418.0,10482.0,5383.0,731.0,20134.0,376.0,633.0,59.4,406.0,24.0,13258.0,70489.0,37328.0,1423.0,436.0,111.0,16673.0,13684.0,82.1,420.0,507.0,0.0,441.0,399.0,74.0,2.0,12.0,4.0,3211.0,626.0,616.0,50.4
