player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Sabit Abdulai,gh GHA,MF,Getafe,21,1999,3.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,58.3,133.0,9.0,2.0,2.0,100.0,4.0,5.0,80.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,4.0,25.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,2.0,11.0,6.0,0.0,17.0,1.0,3.0,33.3,1.0,0.0,11.0,46.0,22.0,1.0,1.0,0.0,10.0,8.0,80.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Marcos Acuña,ar ARG,DF,Sevilla,28,1991,30.0,26.0,2330.0,1.0,2.0,0.0,0.0,5.0,0.0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,0.04,0.11,0.15,0.04,0.15,25.9,18.0,3.0,0.0,16.7,0.7,0.12,0.06,0.33,0.06,-0.1,-0.1,1426.0,1771.0,80.5,28082.0,11413.0,558.0,612.0,91.2,656.0,750.0,87.5,196.0,359.0,54.6,-0.8,33.0,110.0,36.0,18.0,122.0,1491.0,280.0,44.0,2.0,177.0,67.0,81.0,24.0,3.0,17.0,1.0,1047.0,297.0,427.0,1293.0,212.0,39.0,212.0,2.0,3.0,30.0,36.0,48.0,58.0,2.24,39.0,11.0,5.0,2.0,0.0,4.0,0.15,2.0,1.0,0.0,1.0,0.0,0.0,72.0,47.0,39.0,23.0,10.0,23.0,39.0,59.0,16.0,345.0,117.0,33.9,153.0,132.0,60.0,39.0,3.0,0.0,36.0,25.0,34.0,0.0,2027.0,73.0,704.0,915.0,525.0,31.0,1760.0,41.0,60.0,68.3,43.0,5.0,1309.0,5909.0,3793.0,133.0,34.0,8.0,1437.0,1356.0,94.4,33.0,33.0,0.0,45.0,33.0,2.0,0.0,2.0,0.0,215.0,19.0,31.0,38.0
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,3.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.43,0.0,0.43,0.43,0.43,0.4,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.17,-0.2,-0.2,7.0,10.0,70.0,99.0,1.0,3.0,3.0,100.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,20.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,2.0,8.0,11.0,4.0,18.0,1.0,2.0,50.0,2.0,0.0,15.0,88.0,61.0,3.0,2.0,1.0,14.0,12.0,85.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,26.0,16.0,1558.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,0.9,0.01,0.05,0.06,0.01,0.06,17.3,2.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.1,-0.2,-0.2,520.0,727.0,71.5,9660.0,4691.0,229.0,273.0,83.9,225.0,299.0,75.3,57.0,121.0,47.1,0.1,12.0,40.0,16.0,8.0,45.0,546.0,181.0,18.0,1.0,81.0,18.0,22.0,1.0,0.0,0.0,0.0,353.0,158.0,216.0,62.0,444.0,44.0,162.0,1.0,5.0,22.0,27.0,19.0,23.0,1.33,14.0,7.0,0.0,0.0,1.0,3.0,0.17,2.0,1.0,0.0,0.0,0.0,0.0,34.0,16.0,18.0,10.0,6.0,13.0,28.0,46.4,15.0,187.0,58.0,31.0,73.0,90.0,24.0,25.0,4.0,1.0,21.0,34.0,48.0,1.0,883.0,48.0,306.0,454.0,155.0,8.0,706.0,4.0,8.0,50.0,4.0,0.0,412.0,1633.0,843.0,33.0,8.0,2.0,501.0,425.0,84.8,8.0,9.0,0.0,24.0,24.0,1.0,0.0,0.0,0.0,126.0,25.0,24.0,51.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,25.0,14.0,1289.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,0.06,0.04,0.1,0.06,0.1,14.3,9.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.09,-0.8,-0.8,518.0,627.0,82.6,11583.0,3515.0,118.0,130.0,90.8,300.0,335.0,89.6,97.0,146.0,66.4,-0.6,2.0,36.0,2.0,0.0,39.0,610.0,17.0,16.0,2.0,95.0,9.0,1.0,0.0,0.0,0.0,0.0,464.0,59.0,104.0,100.0,467.0,35.0,1.0,4.0,5.0,18.0,10.0,12.0,10.0,0.7,7.0,0.0,1.0,2.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,28.0,17.0,22.0,5.0,1.0,11.0,21.0,52.4,10.0,171.0,55.0,32.2,109.0,61.0,1.0,20.0,4.0,0.0,16.0,16.0,111.0,2.0,815.0,129.0,510.0,327.0,20.0,11.0,799.0,5.0,6.0,83.3,6.0,1.0,472.0,2867.0,1515.0,33.0,3.0,1.0,464.0,460.0,99.1,4.0,5.0,0.0,13.0,14.0,1.0,0.0,0.0,0.0,153.0,49.0,42.0,53.8
Carlos Akapo,gq EQG,DF,Cádiz,27,1993,13.0,10.0,865.0,1.0,0.0,0.0,0.0,3.0,1.0,0.1,0.0,0.1,0.1,0.1,0.4,0.4,0.3,0.04,0.03,0.07,0.04,0.07,9.6,2.0,1.0,0.0,50.0,0.21,0.1,0.5,1.0,0.19,0.6,0.6,233.0,349.0,66.8,4349.0,1848.0,98.0,115.0,85.2,101.0,148.0,68.2,29.0,74.0,39.2,-0.3,2.0,10.0,5.0,3.0,13.0,239.0,110.0,9.0,0.0,49.0,8.0,16.0,0.0,0.0,0.0,0.0,142.0,98.0,109.0,18.0,194.0,25.0,101.0,1.0,2.0,14.0,13.0,10.0,5.0,0.52,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.0,22.0,6.0,0.0,15.0,25.0,60.0,10.0,110.0,31.0,28.2,69.0,36.0,5.0,30.0,4.0,0.0,26.0,13.0,40.0,2.0,462.0,46.0,202.0,208.0,74.0,3.0,354.0,10.0,12.0,83.3,10.0,0.0,163.0,1119.0,574.0,28.0,7.0,1.0,166.0,154.0,92.8,5.0,5.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,80.0,17.0,6.0,73.9
Paul Akouokou,ci CIV,MF,Betis,22,1997,10.0,4.0,378.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.08,0.08,0.0,0.08,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,183.0,91.8,3248.0,590.0,59.0,64.0,92.2,83.0,86.0,96.5,22.0,28.0,78.6,-0.4,2.0,14.0,1.0,1.0,6.0,182.0,1.0,1.0,0.0,20.0,3.0,2.0,0.0,0.0,0.0,0.0,150.0,16.0,17.0,21.0,151.0,5.0,0.0,1.0,0.0,1.0,3.0,0.0,5.0,1.19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,3.0,9.0,0.0,2.0,5.0,40.0,3.0,75.0,20.0,26.7,18.0,52.0,5.0,6.0,1.0,0.0,5.0,6.0,8.0,0.0,216.0,14.0,56.0,151.0,23.0,0.0,215.0,3.0,4.0,75.0,3.0,2.0,146.0,812.0,351.0,10.0,1.0,0.0,152.0,144.0,94.7,1.0,4.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,37.0,8.0,8.0,50.0
Jony Álamo,es ESP,MF,Elche,18,2001,1.0,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.8,1.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.02,0.0,0.0,14.0,16.0,87.5,289.0,41.0,3.0,3.0,100.0,8.0,9.0,88.9,2.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.23,1.0,0.0,0.0,0.0,0.0,1.0,1.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,9.0,4.0,44.4,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,12.0,11.0,3.0,1.0,25.0,1.0,1.0,100.0,1.0,0.0,19.0,97.0,35.0,1.0,0.0,0.0,13.0,13.0,100.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Jordi Alba,es ESP,DF,Barcelona,31,1989,35.0,34.0,3025.0,3.0,5.0,0.0,0.0,9.0,0.0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,0.07,0.22,0.29,0.07,0.29,33.6,27.0,11.0,1.0,40.7,0.8,0.33,0.11,0.27,0.09,0.6,0.6,2507.0,2933.0,85.5,39805.0,12496.0,1391.0,1508.0,92.2,909.0,1051.0,86.5,170.0,267.0,63.7,-2.4,51.0,125.0,83.0,19.0,211.0,2662.0,271.0,30.0,7.0,201.0,42.0,113.0,3.0,0.0,0.0,0.0,2183.0,465.0,285.0,2296.0,358.0,31.0,238.0,6.0,6.0,24.0,55.0,97.0,86.0,2.56,83.0,1.0,1.0,0.0,0.0,9.0,0.27,9.0,0.0,0.0,0.0,0.0,0.0,49.0,24.0,25.0,16.0,8.0,26.0,64.0,40.6,38.0,346.0,97.0,28.0,124.0,156.0,66.0,64.0,4.0,0.0,60.0,43.0,46.0,0.0,3210.0,93.0,687.0,1312.0,1371.0,123.0,2944.0,17.0,37.0,45.9,24.0,7.0,2164.0,7772.0,4084.0,169.0,45.0,16.0,2601.0,2419.0,93.0,22.0,14.0,0.0,21.0,15.0,10.0,0.0,0.0,1.0,295.0,7.0,14.0,33.3
Raúl Albiol,es ESP,DF,Villarreal,34,1985,35.0,35.0,3115.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,0.02,0.03,0.05,0.02,0.05,34.6,8.0,1.0,0.0,12.5,0.23,0.03,0.0,0.0,0.08,-0.6,-0.6,1795.0,2007.0,89.4,42528.0,12143.0,384.0,416.0,92.3,953.0,1015.0,93.9,450.0,554.0,81.2,-1.0,4.0,98.0,5.0,0.0,111.0,1939.0,68.0,63.0,0.0,185.0,67.0,3.0,0.0,0.0,0.0,0.0,1588.0,141.0,278.0,294.0,1602.0,72.0,4.0,1.0,2.0,30.0,14.0,19.0,14.0,0.4,14.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,22.0,7.0,0.0,12.0,24.0,50.0,12.0,200.0,79.0,39.5,107.0,85.0,8.0,47.0,24.0,1.0,23.0,23.0,170.0,1.0,2296.0,363.0,1320.0,1128.0,53.0,12.0,2231.0,5.0,9.0,55.6,5.0,0.0,1523.0,11104.0,7011.0,128.0,16.0,0.0,1648.0,1631.0,99.0,6.0,3.0,0.0,13.0,17.0,1.0,0.0,1.0,0.0,306.0,65.0,47.0,58.0
