squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Alavés,30.0,57.3,38.0,418.0,3420.0,57.0,44.0,3.0,3.0,80.0,3.0,1.5,1.16,2.66,1.42,2.58,50.8,48.5,37.0,1.34,0.97,2.31,1.28,2.25,38.0,38.0,3415.0,36.0,0.95,99.0,66.0,68.7,18.0,11.0,9.0,13.0,34.2,8.0,5.0,2.0,1.0,38.0,2.0,2.0,1.0,37.3,0.33,2.3,0.06,260.0,674.0,38.6,1004.0,153.0,50.0,42.3,239.0,72.0,54.1,306.0,24.0,7.8,31.0,0.82,15.2,400.0,143.0,16.0,35.8,10.53,3.76,0.14,0.38,0.13,6.2,5.5,15395.0,19413.0,79.3,307486.0,98234.0,6095.0,6965.0,87.5,6486.0,7523.0,86.2,2499.0,4171.0,59.9,7.0,289.0,1148.0,317.0,80.0,1239.0,17477.0,1936.0,557.0,43.0,2591.0,662.0,456.0,200.0,65.0,58.0,11.0,12862.0,2609.0,3942.0,5651.0,11319.0,808.0,865.0,262.0,101.0,376.0,408.0,463.0,621.0,16.34,446.0,60.0,35.0,26.0,41.0,94.0,2.47,69.0,4.0,7.0,5.0,7.0,525.0,333.0,225.0,229.0,71.0,174.0,476.0,36.6,302.0,4427.0,1436.0,32.4,1274.0,2192.0,961.0,486.0,95.0,1.0,391.0,348.0,884.0,13.0,23365.0,2268.0,7101.0,11640.0,5991.0,789.0,21500.0,337.0,551.0,61.2,366.0,21.0,14725.0,74710.0,40767.0,1626.0,455.0,119.0,18332.0,15395.0,84.0,427.0,392.0,1.0,518.0,480.0,109.0,3.0,7.0,1.0,3326.0,690.0,920.0,42.9
vs Athletic Club,27.0,50.2,38.0,418.0,3420.0,41.0,29.0,5.0,6.0,80.0,5.0,1.08,0.76,1.84,0.95,1.71,36.3,31.9,24.6,0.96,0.65,1.6,0.84,1.49,38.0,38.0,3420.0,46.0,1.21,133.0,94.0,68.4,14.0,13.0,11.0,12.0,31.6,5.0,4.0,1.0,0.0,38.0,1.0,5.0,3.0,43.3,0.3,0.3,0.01,309.0,742.0,41.6,1012.0,150.0,51.7,42.3,307.0,71.3,53.9,392.0,33.0,8.4,32.0,0.84,14.5,372.0,107.0,14.0,28.8,9.79,2.82,0.1,0.34,0.09,4.7,4.1,14452.0,18229.0,79.3,289850.0,95363.0,5945.0,6705.0,88.7,5876.0,6876.0,85.5,2356.0,3934.0,59.9,4.4,273.0,1004.0,298.0,80.0,1105.0,16377.0,1852.0,538.0,21.0,2593.0,675.0,501.0,157.0,47.0,68.0,3.0,11787.0,2324.0,4118.0,5216.0,10711.0,762.0,765.0,247.0,67.0,360.0,333.0,464.0,608.0,16.0,444.0,57.0,40.0,17.0,34.0,69.0,1.82,43.0,9.0,3.0,3.0,8.0,576.0,339.0,283.0,245.0,48.0,194.0,529.0,36.7,335.0,4993.0,1452.0,29.1,1736.0,2290.0,967.0,633.0,114.0,3.0,519.0,454.0,924.0,4.0,22461.0,2635.0,7891.0,10289.0,5606.0,751.0,20670.0,364.0,551.0,66.1,393.0,28.0,13864.0,69738.0,37047.0,1452.0,466.0,112.0,17184.0,14452.0,84.1,435.0,365.0,4.0,506.0,454.0,85.0,5.0,4.0,3.0,3071.0,632.0,721.0,46.7
vs Atlético Madrid,25.0,47.6,38.0,418.0,3420.0,22.0,15.0,1.0,4.0,59.0,3.0,0.58,0.39,0.97,0.55,0.95,32.7,29.7,23.2,0.86,0.61,1.47,0.78,1.39,38.0,38.0,3420.0,67.0,1.76,179.0,117.0,65.4,4.0,8.0,26.0,7.0,18.4,7.0,5.0,1.0,1.0,38.0,1.0,6.0,2.0,57.1,0.29,-7.9,-0.21,239.0,604.0,39.6,954.0,162.0,47.2,40.6,288.0,53.5,46.6,272.0,19.0,7.0,29.0,0.76,14.3,356.0,120.0,14.0,33.7,9.37,3.16,0.06,0.18,0.08,-10.7,-8.7,15192.0,18808.0,80.8,305512.0,92856.0,5995.0,6755.0,88.7,6527.0,7421.0,88.0,2443.0,3955.0,61.8,-8.2,263.0,1146.0,256.0,76.0,1110.0,16996.0,1812.0,558.0,13.0,2261.0,735.0,435.0,160.0,56.0,68.0,5.0,12791.0,2514.0,3503.0,5624.0,11128.0,767.0,701.0,235.0,29.0,343.0,379.0,486.0,550.0,14.47,403.0,59.0,22.0,24.0,33.0,40.0,1.05,31.0,4.0,1.0,1.0,1.0,613.0,379.0,333.0,200.0,80.0,208.0,603.0,34.5,395.0,5460.0,1460.0,26.7,1896.0,2469.0,1095.0,552.0,104.0,2.0,448.0,438.0,854.0,7.0,23009.0,2536.0,7314.0,11243.0,5834.0,640.0,21265.0,354.0,671.0,52.8,383.0,27.0,14853.0,73478.0,38250.0,1583.0,486.0,85.0,17925.0,15192.0,84.8,414.0,417.0,0.0,492.0,458.0,30.0,3.0,7.0,2.0,3028.0,506.0,606.0,45.5
vs Barcelona,25.0,34.2,38.0,418.0,3420.0,36.0,20.0,5.0,5.0,76.0,6.0,0.95,0.53,1.47,0.82,1.34,39.6,35.8,24.2,1.04,0.64,1.68,0.94,1.58,38.0,38.0,3420.0,85.0,2.24,228.0,150.0,64.5,7.0,7.0,24.0,3.0,7.9,8.0,4.0,3.0,1.0,38.0,3.0,9.0,5.0,84.3,0.35,4.3,0.11,250.0,624.0,40.1,863.0,128.0,50.9,41.5,314.0,58.9,48.5,226.0,13.0,5.8,27.0,0.71,14.0,321.0,123.0,14.0,38.3,8.45,3.24,0.1,0.25,0.11,-3.6,-4.8,11936.0,15062.0,79.2,234300.0,83213.0,4887.0,5569.0,87.8,5012.0,5758.0,87.0,1786.0,3059.0,58.4,-4.2,227.0,786.0,236.0,56.0,932.0,13546.0,1516.0,426.0,18.0,2518.0,435.0,349.0,140.0,41.0,55.0,6.0,10264.0,1876.0,2922.0,4372.0,9204.0,457.0,513.0,210.0,43.0,290.0,334.0,439.0,520.0,13.68,366.0,43.0,35.0,23.0,29.0,63.0,1.66,38.0,3.0,6.0,3.0,7.0,637.0,403.0,372.0,203.0,62.0,248.0,786.0,31.6,538.0,6647.0,1562.0,23.5,2732.0,2612.0,1303.0,647.0,147.0,2.0,500.0,529.0,643.0,11.0,18975.0,2785.0,7358.0,8602.0,4208.0,662.0,17499.0,295.0,513.0,57.5,307.0,25.0,11788.0,63272.0,34009.0,1184.0,374.0,124.0,14331.0,11936.0,83.3,418.0,342.0,2.0,549.0,338.0,48.0,5.0,7.0,5.0,2519.0,320.0,418.0,43.4
vs Betis,25.0,46.1,38.0,418.0,3420.0,47.0,31.0,8.0,10.0,83.0,2.0,1.24,0.82,2.05,1.03,1.84,45.5,38.0,29.6,1.2,0.78,1.98,1.0,1.78,38.0,38.0,3420.0,50.0,1.32,144.0,101.0,70.8,11.0,10.0,17.0,9.0,23.7,11.0,8.0,3.0,0.0,38.0,1.0,9.0,0.0,49.7,0.29,-0.3,-0.01,222.0,574.0,38.7,1045.0,137.0,42.3,39.1,264.0,50.0,42.4,288.0,18.0,6.3,20.0,0.53,14.2,354.0,125.0,15.0,35.3,9.32,3.29,0.11,0.31,0.11,1.5,1.0,13308.0,17066.0,78.0,269982.0,92006.0,5161.0,5934.0,87.0,5646.0,6660.0,84.8,2256.0,3806.0,59.3,1.4,256.0,978.0,262.0,71.0,1124.0,15212.0,1854.0,557.0,28.0,2500.0,572.0,449.0,158.0,61.0,61.0,3.0,11009.0,2274.0,3783.0,4876.0,9946.0,702.0,788.0,222.0,115.0,353.0,402.0,440.0,555.0,14.61,387.0,54.0,38.0,20.0,43.0,78.0,2.05,57.0,3.0,5.0,7.0,6.0,665.0,387.0,326.0,277.0,62.0,199.0,583.0,34.1,384.0,5771.0,1680.0,29.1,1888.0,2731.0,1152.0,560.0,140.0,4.0,420.0,388.0,817.0,6.0,21145.0,2526.0,7258.0,10167.0,4937.0,730.0,19348.0,334.0,557.0,60.0,361.0,23.0,12751.0,65139.0,34625.0,1303.0,379.0,120.0,16080.0,13308.0,82.8,387.0,409.0,0.0,510.0,497.0,127.0,6.0,11.0,0.0,3042.0,653.0,626.0,51.1
vs Cádiz,34.0,65.7,38.0,418.0,3420.0,57.0,41.0,9.0,10.0,87.0,4.0,1.5,1.08,2.58,1.26,2.34,55.0,47.5,38.1,1.45,1.0,2.45,1.25,2.25,38.0,38.0,3420.0,37.0,0.97,97.0,67.0,66.0,16.0,11.0,11.0,13.0,34.2,4.0,4.0,0.0,0.0,38.0,0.0,7.0,3.0,33.0,0.31,0.0,0.0,172.0,383.0,44.9,798.0,166.0,33.0,34.6,232.0,51.7,43.5,358.0,33.0,9.2,26.0,0.68,15.1,444.0,139.0,19.0,31.3,11.68,3.66,0.11,0.35,0.11,2.0,0.5,19026.0,22788.0,83.5,367690.0,114078.0,7642.0,8491.0,90.0,8518.0,9541.0,89.3,2552.0,3965.0,64.4,2.9,337.0,1537.0,392.0,94.0,1604.0,21010.0,1778.0,459.0,50.0,2637.0,668.0,546.0,208.0,89.0,59.0,8.0,16430.0,2623.0,3735.0,6797.0,13553.0,847.0,806.0,283.0,93.0,343.0,390.0,495.0,737.0,19.39,553.0,60.0,43.0,30.0,34.0,101.0,2.66,72.0,4.0,6.0,5.0,9.0,511.0,337.0,244.0,201.0,66.0,159.0,513.0,31.0,354.0,4328.0,1393.0,32.2,1329.0,1974.0,1025.0,451.0,53.0,1.0,398.0,295.0,1066.0,11.0,26911.0,2042.0,7292.0,14156.0,7310.0,944.0,25169.0,367.0,623.0,58.9,401.0,32.0,18091.0,96007.0,55338.0,2358.0,656.0,128.0,21905.0,19026.0,86.9,461.0,389.0,4.0,518.0,402.0,104.0,5.0,3.0,3.0,3331.0,801.0,704.0,53.2
vs Celta Vigo,30.0,46.3,38.0,418.0,3420.0,56.0,37.0,7.0,8.0,102.0,6.0,1.47,0.97,2.45,1.29,2.26,49.5,43.4,32.5,1.3,0.86,2.16,1.14,2.0,38.0,38.0,3420.0,55.0,1.45,137.0,88.0,65.0,13.0,11.0,14.0,10.0,26.3,7.0,7.0,0.0,0.0,38.0,1.0,4.0,0.0,50.4,0.33,-4.6,-0.12,300.0,664.0,45.2,948.0,133.0,53.6,44.0,220.0,70.9,54.0,280.0,26.0,9.3,23.0,0.61,15.0,407.0,132.0,23.0,32.4,10.71,3.47,0.12,0.37,0.11,6.5,5.6,13026.0,16845.0,77.3,266120.0,95093.0,5147.0,5956.0,86.4,5422.0,6430.0,84.3,2209.0,3756.0,58.8,4.5,277.0,950.0,249.0,82.0,1114.0,14781.0,2064.0,662.0,23.0,2910.0,599.0,469.0,166.0,61.0,52.0,8.0,10337.0,2506.0,4002.0,4938.0,9452.0,760.0,922.0,239.0,45.0,336.0,349.0,513.0,626.0,16.47,431.0,61.0,46.0,30.0,45.0,91.0,2.39,63.0,3.0,6.0,9.0,7.0,517.0,345.0,213.0,226.0,78.0,178.0,489.0,36.4,311.0,4989.0,1516.0,30.4,1271.0,2459.0,1259.0,535.0,82.0,3.0,453.0,422.0,852.0,4.0,21227.0,2070.0,6244.0,10458.0,5714.0,781.0,19248.0,432.0,688.0,62.8,467.0,30.0,12735.0,63471.0,32273.0,1293.0,414.0,136.0,15779.0,13026.0,82.6,524.0,482.0,4.0,533.0,612.0,53.0,6.0,7.0,0.0,3313.0,730.0,621.0,54.0
vs Eibar,30.0,50.4,38.0,418.0,3420.0,52.0,40.0,3.0,5.0,66.0,2.0,1.37,1.05,2.42,1.29,2.34,47.0,43.2,33.8,1.24,0.89,2.13,1.14,2.03,38.0,38.0,3420.0,29.0,0.76,130.0,103.0,80.8,20.0,12.0,6.0,14.0,36.8,9.0,4.0,4.0,1.0,38.0,0.0,5.0,0.0,36.2,0.23,7.2,0.19,391.0,958.0,40.8,1190.0,156.0,59.7,45.7,368.0,67.4,52.1,507.0,44.0,8.7,25.0,0.66,14.3,346.0,133.0,12.0,38.4,9.11,3.5,0.14,0.37,0.13,5.0,5.8,12715.0,17333.0,73.4,265608.0,100961.0,4854.0,5789.0,83.8,5387.0,6664.0,80.8,2242.0,4215.0,53.2,6.2,249.0,836.0,237.0,64.0,973.0,15172.0,2161.0,542.0,29.0,2679.0,507.0,379.0,141.0,39.0,51.0,16.0,9453.0,2841.0,5039.0,4644.0,9512.0,1052.0,1040.0,277.0,116.0,418.0,362.0,476.0,538.0,14.16,381.0,43.0,41.0,32.0,28.0,89.0,2.34,69.0,0.0,10.0,5.0,3.0,585.0,356.0,315.0,226.0,44.0,187.0,566.0,33.0,379.0,4949.0,1450.0,29.3,1867.0,2267.0,815.0,574.0,111.0,3.0,463.0,361.0,1359.0,8.0,21889.0,3190.0,9387.0,9201.0,4318.0,676.0,19785.0,341.0,569.0,59.9,375.0,25.0,11683.0,56346.0,28843.0,978.0,306.0,119.0,16034.0,12715.0,79.3,481.0,384.0,1.0,420.0,464.0,128.0,5.0,9.0,0.0,3594.0,1006.0,951.0,51.4
vs Elche,30.0,52.4,38.0,418.0,3420.0,54.0,43.0,6.0,10.0,79.0,2.0,1.42,1.13,2.55,1.26,2.39,58.4,51.2,43.2,1.54,1.14,2.67,1.35,2.48,38.0,38.0,3420.0,34.0,0.89,87.0,56.0,63.2,18.0,12.0,8.0,13.0,34.2,3.0,2.0,0.0,1.0,38.0,0.0,5.0,1.0,32.1,0.36,-0.9,-0.02,215.0,447.0,48.1,824.0,137.0,39.0,37.4,206.0,61.2,47.9,335.0,34.0,10.1,36.0,0.95,16.7,472.0,156.0,20.0,33.1,12.42,4.11,0.1,0.31,0.11,-4.4,-3.2,15790.0,19119.0,82.6,317118.0,98809.0,6076.0,6864.0,88.5,6963.0,7858.0,88.6,2517.0,3769.0,66.8,-0.2,370.0,1264.0,374.0,88.0,1428.0,17446.0,1673.0,539.0,49.0,2306.0,572.0,497.0,165.0,40.0,63.0,6.0,13564.0,2260.0,3295.0,5744.0,11362.0,704.0,687.0,224.0,52.0,289.0,360.0,448.0,781.0,20.55,577.0,63.0,58.0,24.0,45.0,97.0,2.55,69.0,7.0,9.0,6.0,5.0,662.0,409.0,246.0,317.0,99.0,249.0,656.0,38.0,407.0,5592.0,1715.0,30.7,1326.0,2719.0,1547.0,464.0,62.0,1.0,402.0,371.0,750.0,9.0,23125.0,1881.0,6139.0,12196.0,6271.0,941.0,21524.0,384.0,609.0,63.1,415.0,29.0,15451.0,81951.0,46664.0,1976.0,526.0,144.0,18303.0,15790.0,86.3,428.0,406.0,1.0,499.0,507.0,64.0,7.0,3.0,1.0,3007.0,588.0,521.0,53.0
vs Getafe,31.0,57.2,38.0,418.0,3420.0,40.0,26.0,7.0,8.0,106.0,6.0,1.05,0.68,1.74,0.87,1.55,40.3,34.1,25.0,1.06,0.66,1.72,0.9,1.56,38.0,38.0,3420.0,28.0,0.74,101.0,74.0,75.2,18.0,11.0,9.0,21.0,55.3,5.0,3.0,2.0,0.0,38.0,0.0,0.0,1.0,29.8,0.26,2.8,0.07,320.0,729.0,43.9,1013.0,169.0,52.4,43.8,297.0,66.7,51.8,424.0,31.0,7.3,40.0,1.05,15.7,313.0,105.0,12.0,33.5,8.24,2.76,0.11,0.31,0.11,-0.3,-1.1,14156.0,18501.0,76.5,285458.0,101425.0,5677.0,6649.0,85.4,5888.0,7000.0,84.1,2326.0,4106.0,56.6,1.0,223.0,950.0,217.0,60.0,1019.0,16441.0,2060.0,685.0,27.0,3268.0,621.0,363.0,145.0,48.0,53.0,11.0,10987.0,2915.0,4599.0,5369.0,10183.0,1048.0,864.0,289.0,80.0,414.0,401.0,489.0,491.0,12.92,336.0,59.0,31.0,21.0,37.0,69.0,1.82,51.0,6.0,3.0,3.0,6.0,608.0,364.0,358.0,201.0,49.0,186.0,458.0,40.6,272.0,4510.0,1474.0,32.7,1910.0,1871.0,729.0,552.0,99.0,4.0,453.0,353.0,1282.0,2.0,23067.0,2514.0,8294.0,11355.0,4612.0,562.0,21092.0,338.0,561.0,60.2,363.0,37.0,13524.0,64606.0,32344.0,1123.0,303.0,78.0,17222.0,14156.0,82.2,479.0,421.0,5.0,552.0,590.0,90.0,6.0,5.0,1.0,3563.0,1000.0,885.0,53.1
